"3005 膀 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"429,560,549","17,185,614,560","162,394",63.00,4/04,25.60,12/20,39.13
92,"314,162,250","6,195,294,098","91,383",29.50,1/15,14.65,10/06,19.52
93,"252,319,888","3,929,821,512","63,386",18.20,3/10,12.00,7/22,14.71
94,"1,503,080,055","36,087,492,742","359,802",30.50,10/07,15.10,1/07,23.25
95,"970,592,285","17,917,830,606","229,226",27.10,1/13,9.85,9/15,15.69
96,"1,784,796,114","56,040,777,489","470,331",53.00,7/24,12.10,3/06,30.81
97,"1,180,813,213","23,248,146,578","326,735",29.30,5/05,9.65,11/21,18.82
98,"2,045,820,963","48,294,746,388","501,251",34.65,10/08,12.70,1/21,22.77
99,"785,133,441","17,353,576,732","232,128",31.40,1/05,16.25,8/31,21.20
100,"1,779,620,261","30,456,309,417","517,214",20.85,9/14,12.30,8/03,15.88
101,"3,688,796,683","80,571,272,819","1,153,664",28.85,3/28,12.65,11/01,20.12
102,"1,416,239,746","22,104,787,901","411,077",17.55,5/27,13.25,4/16,15.14
程蔼基,ら戳,程基,ら戳
63.00, 91/4/04,9.65, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
