"3006 垂花 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"297,797,295","59,112,871,887","174,047",445.00,3/27,91.00,12/30,206.83
92,"425,575,518","37,470,637,896","195,326",109.50,7/08,62.50,5/02,85.35
93,"1,541,260,012","158,908,940,565","684,588",165.00,4/13,64.50,11/30,100.58
94,"1,055,819,192","59,428,106,316","450,453",81.10,3/10,28.00,10/27,53.42
95,"844,196,741","29,162,331,615","312,585",44.35,1/06,24.60,9/15,32.53
96,"2,933,177,307","230,415,068,428","1,233,856",149.50,7/27,33.50,1/03,80.26
97,"1,422,578,900","64,809,033,147","669,393",68.30,5/07,14.15,11/21,40.86
98,"2,329,037,745","103,334,032,074","922,434",61.00,7/29,19.50,1/21,42.25
99,"1,919,505,896","112,686,851,257","840,207",79.30,4/16,36.35,2/06,53.70
100,"882,462,066","38,273,405,897","425,261",60.50,1/28,20.95,12/20,38.13
101,"307,432,472","8,371,743,652","155,318",34.50,2/15,18.50,10/30,24.94
102,"1,421,955,915","53,853,666,446","639,767",48.00,6/04,21.80,1/17,34.76
程蔼基,ら戳,程基,ら戳
445.00, 91/3/27,14.15, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
