"3011 さ祋 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"174,625,320","5,001,451,420","74,156",34.40,10/24,21.20,9/30,26.97
92,"309,208,273","7,693,004,309","110,455",29.40,6/27,17.40,5/02,23.26
93,"293,083,737","6,054,180,734","94,253",26.70,2/23,13.00,9/07,18.69
94,"1,104,493,784","25,597,549,185","351,009",27.20,7/15,15.70,1/25,22.67
95,"287,710,806","5,271,469,526","99,740",25.40,1/06,12.60,9/15,16.86
96,"394,315,359","7,023,745,198","115,457",21.80,4/03,8.53,12/20,16.25
97,"82,751,618","605,056,901","23,889",9.95,1/02,3.32,11/21,6.67
98,"454,440,181","5,148,777,970","116,529",15.55,12/18,3.32,2/02,9.08
99,"299,452,006","3,885,787,336","85,370",14.80,1/04,9.43,2/08,12.38
100,"215,073,594","2,090,156,196","62,492",12.30,3/08,6.35,8/23,9.15
101,"239,523,156","2,183,088,933","69,661",10.70,8/28,6.54,6/04,8.50
102,"102,875,365","824,361,522","32,492",9.30,6/03,6.87,8/28,7.65
程蔼基,ら戳,程基,ら戳
34.40, 91/10/24,3.32, 98/2/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
