"3025 琍硄 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"161,497,272","3,476,685,929","60,086",27.10,10/24,14.00,12/20,19.30
92,"182,906,582","2,801,960,409","57,542",19.80,2/18,11.00,5/20,14.19
93,"94,373,155","1,370,899,146","27,805",18.00,1/13,8.20,8/16,11.65
94,"129,265,658","1,777,077,874","33,797",16.45,3/23,9.50,1/12,12.61
95,"204,560,134","3,702,321,405","55,411",23.40,11/20,12.30,7/18,14.81
96,"445,923,443","12,482,653,889","155,855",37.00,6/14,11.70,12/20,24.78
97,"136,521,752","1,727,853,248","44,333",17.75,4/25,5.19,11/21,10.81
98,"278,558,668","4,194,354,399","76,156",22.95,12/17,6.51,1/21,12.07
99,"154,237,219","2,857,926,002","54,169",22.60,1/15,13.70,5/26,17.37
100,"50,562,571","543,313,156","18,708",16.30,1/03,5.85,12/19,11.39
101,"35,740,539","292,610,093","13,369",9.10,2/16,6.71,1/11,8.02
102,"148,599,345","1,668,223,701","51,609",12.95,10/02,7.90,1/02,10.71
程蔼基,ら戳,程基,ら戳
37.00, 96/6/14,5.19, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
