"3028 糤眏 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"34,322,289","960,141,809","15,627",35.70,8/27,23.30,10/07,27.63
92,"210,348,475","6,073,972,139","75,102",33.00,6/18,23.00,2/10,27.44
93,"149,356,532","3,838,001,197","50,480",30.80,2/27,17.30,12/31,22.97
94,"531,440,860","11,238,816,636","155,370",24.20,10/04,14.55,1/19,18.36
95,"622,485,272","14,078,263,613","180,121",26.20,1/05,18.20,9/15,21.63
96,"870,024,118","21,698,949,822","254,250",29.75,7/25,17.05,12/18,23.07
97,"157,469,542","2,484,341,367","58,406",21.35,4/07,6.20,11/21,15.01
98,"595,835,697","10,725,955,229","178,658",23.85,12/17,6.97,2/02,14.93
99,"372,862,900","7,977,190,070","128,304",24.50,1/14,18.00,8/31,20.51
100,"225,460,378","4,689,380,113","79,646",22.60,7/06,16.15,8/09,20.26
101,"200,376,708","4,288,863,709","83,835",24.05,3/26,16.65,11/23,20.16
102,"97,138,950","1,836,318,553","43,750",20.20,5/31,17.50,1/09,18.81
程蔼基,ら戳,程基,ら戳
35.70, 91/8/27,6.20, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
