"3034 羛碟 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"217,616,015","15,809,377,558","87,463",83.50,12/03,58.00,10/14,71.18
92,"867,746,192","76,092,616,919","323,999",123.00,10/21,50.50,2/07,84.13
93,"1,152,723,489","121,703,584,183","442,527",152.00,4/12,75.50,10/27,109.12
94,"1,705,177,569","246,789,369,544","654,849",204.00,12/29,95.50,1/10,141.79
95,"2,094,815,834","384,107,910,895","1,064,929",255.00,3/16,134.50,6/21,177.17
96,"1,676,839,920","257,657,020,893","837,730",191.50,6/12,104.00,12/18,151.37
97,"1,448,684,982","95,240,567,059","695,570",125.00,1/02,23.50,11/21,79.36
98,"3,090,421,206","216,309,678,013","1,386,727",109.50,12/31,31.50,1/12,71.70
99,"1,407,990,597","131,104,313,391","725,588",113.00,4/30,73.20,9/01,92.86
100,"1,086,092,189","89,308,942,943","579,170",101.00,6/01,61.00,8/19,83.06
101,"1,032,680,426","99,606,237,619","554,648",125.50,12/06,73.80,1/02,95.70
102,"975,292,447","123,306,648,413","547,721",158.00,5/07,104.50,1/16,126.31
程蔼基,ら戳,程基,ら戳
255.00, 95/3/16,23.50, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
