"3035 醇 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"74,261,342","6,442,639,224","36,681",105.00,8/30,71.50,10/14,87.27
92,"211,928,838","17,763,086,528","92,846",103.00,8/19,70.50,5/02,81.28
93,"220,189,916","14,369,114,836","92,335",89.00,2/19,42.10,10/26,63.04
94,"443,861,659","26,275,833,382","175,893",70.00,8/10,49.10,10/28,58.11
95,"805,302,421","49,700,844,306","271,663",85.00,12/27,46.20,10/30,54.90
96,"3,338,145,473","357,448,849,860","1,354,276",174.00,7/26,60.30,12/21,104.18
97,"2,425,034,426","126,424,709,203","1,101,881",76.10,1/02,20.80,11/21,49.86
98,"3,745,559,321","191,072,383,838","1,521,907",70.70,12/30,26.20,2/02,50.37
99,"1,760,731,789","103,209,539,139","802,122",70.00,1/05,47.70,5/25,57.09
100,"1,188,945,896","51,970,210,820","571,532",65.40,1/20,21.50,11/24,38.55
101,"2,179,358,091","92,440,901,105","957,034",52.70,3/02,28.10,1/02,41.11
102,"1,187,742,432","42,247,605,237","552,986",42.20,12/31,29.50,6/25,34.18
程蔼基,ら戳,程基,ら戳
174.00, 96/7/26,20.80, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
