"3041 揚智 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
91,"208,327,692","10,378,531,698","85,002",58.00,11/08,39.30,12/20,48.20
92,"586,166,888","21,833,437,771","215,545",52.00,7/02,24.90,11/11,35.89
93,"1,114,262,593","26,703,725,249","287,482",40.50,3/04,14.20,6/23,24.39
94,"1,251,769,507","36,257,201,238","299,983",46.65,12/29,17.70,2/01,27.58
95,"1,328,749,558","54,178,429,379","413,369",61.90,12/27,27.30,7/17,37.77
96,"2,773,411,501","220,301,956,221","1,077,579",149.50,9/12,49.10,1/31,82.89
97,"2,469,656,759","114,678,820,656","1,032,259",70.40,5/07,14.10,11/21,41.41
98,"2,729,152,139","153,764,416,253","1,040,335",85.90,12/07,20.10,1/21,54.29
99,"1,102,810,510","65,398,858,856","514,399",77.90,1/04,40.40,11/08,56.31
100,"530,374,518","19,377,967,647","266,649",47.00,6/07,26.00,11/24,36.58
101,"1,802,407,512","71,183,757,124","769,264",54.50,3/09,28.80,8/07,37.49
102,"865,764,828","27,984,229,142","376,399",36.50,3/04,28.30,7/31,31.74
近年最高價,日期,近年最低價,日期
149.50, 96/9/12,14.10, 97/11/21
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
