"3045 芖 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"977,788,077","29,031,644,718","176,024",39.00,9/17,26.20,11/29,30.92
92,"3,016,236,793","81,674,418,818","493,156",32.20,10/17,22.40,5/02,26.53
93,"2,704,282,283","88,242,330,253","385,893",35.60,12/30,28.00,3/23,32.54
94,"1,989,023,888","61,884,915,296","341,717",36.00,1/03,26.20,10/20,31.13
95,"1,639,003,884","50,673,470,545","278,992",33.85,11/09,28.00,1/24,31.10
96,"2,331,085,945","87,795,785,908","358,012",45.80,11/27,31.65,3/01,38.22
97,"2,740,933,073","139,703,585,450","547,204",60.50,4/02,40.05,11/06,52.49
98,"2,383,108,522","126,365,475,198","608,537",62.50,12/31,44.25,2/05,53.44
99,"1,608,787,729","101,823,185,215","409,048",70.00,12/31,58.50,4/23,63.22
100,"1,495,861,571","117,336,758,075","486,123",98.30,11/17,65.20,2/18,78.18
101,"1,546,087,181","148,787,090,358","574,160",115.50,10/09,86.30,2/02,98.26
102,"1,314,544,871","136,446,373,493","490,703",121.50,5/16,87.20,10/22,104.50
程蔼基,ら戳,程基,ら戳
121.50, 102/5/16,22.40, 92/5/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
