"3049 ㎝ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"332,444,309","6,590,547,162","77,346",26.10,9/27,13.30,10/14,19.30
92,"3,576,389,215","76,937,625,667","719,561",27.60,7/28,15.90,5/21,19.64
93,"4,802,022,468","116,802,410,037","986,133",35.10,4/19,11.50,11/02,20.92
94,"2,980,887,894","39,666,898,880","562,253",17.35,4/04,6.38,10/28,12.40
95,"2,444,604,626","18,532,031,700","400,012",12.15,1/04,4.52,9/07,7.39
96,"3,955,251,051","37,144,463,345","653,368",12.70,8/13,5.97,2/27,9.23
97,"3,436,036,738","38,524,485,020","709,462",18.80,5/20,3.17,11/19,9.14
98,"4,595,763,943","77,752,331,818","1,045,986",28.70,12/11,3.70,1/21,14.76
99,"6,201,096,098","142,014,753,167","1,722,936",29.65,1/04,15.25,5/26,22.12
100,"3,637,210,268","75,184,757,997","1,032,959",31.95,3/04,6.47,11/11,18.60
101,"2,827,797,324","36,668,027,249","764,587",18.10,3/07,7.55,10/29,12.13
102,"1,595,365,381","17,509,608,873","404,976",14.00,6/04,8.10,11/12,10.12
程蔼基,ら戳,程基,ら戳
35.10, 93/4/19,3.17, 97/11/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
