"3504 喘 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
96,"169,484,524","12,427,194,596","94,878",96.00,7/26,30.50,12/18,66.03
97,"75,764,580","3,390,133,511","43,590",62.40,8/15,28.35,1/24,42.89
98,"465,341,091","67,111,442,048","278,317",279.00,12/30,37.55,1/05,124.39
99,"599,022,510","137,341,880,871","439,649",321.00,1/15,127.00,11/04,218.99
100,"367,909,307","47,815,910,063","262,379",186.00,1/07,53.60,12/09,119.13
101,"430,191,150","43,957,720,864","299,932",140.00,3/09,61.50,11/01,94.26
102,"203,780,138","15,324,965,288","146,174",89.00,6/19,50.00,11/13,69.91
程蔼基,ら戳,程基,ら戳
321.00, 99/1/15,28.35, 97/1/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
