"4106 雃博 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
93,"1,542,669","24,667,799",688,16.70,11/19,15.10,11/15,15.97
94,"27,585,995","440,285,570","11,286",19.90,3/07,13.00,9/28,15.19
95,"20,417,767","275,597,736","7,620",15.85,4/24,10.40,9/07,13.00
96,"313,746,898","9,156,537,694","126,491",43.35,7/18,12.05,3/02,23.31
97,"205,479,874","5,946,209,084","105,054",41.50,5/22,17.80,10/28,26.88
98,"270,164,129","8,113,485,646","125,494",36.75,9/23,18.00,2/02,28.80
99,"355,715,856","14,388,885,332","180,847",50.20,10/21,26.50,2/06,36.51
100,"114,774,346","4,338,966,780","65,256",44.80,5/04,27.65,9/26,35.42
101,"91,762,464","3,066,167,120","56,981",37.20,2/16,29.20,6/04,32.60
102,"182,005,470","6,447,363,835","104,967",39.20,1/04,31.10,5/14,34.20
近年最高價,日期,近年最低價,日期
50.20, 99/10/21,10.40, 95/9/07
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
