"4904 环肚 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
94,"443,985,425","17,079,586,614","76,672",42.10,8/30,36.20,9/23,38.52
95,"1,596,392,879","60,303,830,877","223,429",43.00,5/05,34.10,9/14,37.40
96,"1,563,626,744","61,475,430,228","275,215",44.50,11/30,35.30,1/23,39.25
97,"1,732,284,902","74,886,217,102","377,084",54.90,3/31,29.25,11/07,43.71
98,"1,964,821,415","72,175,826,333","531,096",41.00,7/20,31.20,2/19,36.53
99,"1,148,257,757","45,981,839,677","323,805",45.60,8/09,36.90,2/10,40.71
100,"1,444,631,820","69,740,645,931","498,211",61.10,11/29,41.55,2/15,46.89
101,"1,944,795,753","127,000,295,027","689,297",76.10,12/12,53.00,1/18,66.56
102,"1,536,074,345","107,856,927,087","608,770",83.00,7/23,59.60,10/22,71.04
程蔼基,ら戳,程基,ら戳
83.00, 102/7/23,29.25, 97/11/07
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
