"5484 紌ね Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"38,958,765","1,428,414,256","14,683",42.80,12/12,31.00,9/10,36.74
93,"237,092,934","11,320,329,582","74,638",69.00,4/13,35.50,8/16,49.79
94,"216,179,852","9,016,042,240","88,916",54.20,3/09,28.10,10/28,39.73
95,"213,183,883","7,016,231,264","72,086",41.00,12/21,20.00,9/15,30.16
96,"732,641,445","37,917,420,591","280,181",67.00,9/13,32.55,12/21,47.98
97,"131,372,185","3,769,755,452","58,083",39.60,1/02,11.50,11/21,24.55
98,"130,357,917","2,880,663,949","54,273",28.60,12/24,12.35,1/21,20.29
99,"72,479,794","1,725,669,308","34,056",28.30,1/15,17.60,11/30,22.11
100,"33,961,266","503,493,224","17,514",18.90,1/12,9.00,12/20,13.97
101,"40,132,535","432,265,416","18,194",13.50,2/21,8.00,6/05,10.25
102,"173,618,980","2,027,042,997","50,317",14.60,8/05,8.90,12/12,10.76
程蔼基,ら戳,程基,ら戳
69.00, 93/4/13,8.00, 101/6/05
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
