"5525 抖ぱ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
93,"52,831,410","1,520,087,576","16,013",31.40,12/22,21.50,12/06,25.81
94,"140,201,978","3,794,921,636","42,468",32.00,3/21,19.50,8/31,24.59
95,"218,006,377","7,248,341,471","74,554",46.50,12/15,19.50,3/01,29.20
96,"113,662,419","4,622,707,379","41,863",52.00,7/31,26.55,12/18,38.44
97,"187,676,588","6,464,221,657","70,555",56.00,4/18,9.00,11/21,26.28
98,"220,462,621","3,933,703,339","74,994",22.60,6/01,8.22,3/03,16.14
99,"137,313,912","2,537,844,092","46,606",22.05,12/24,15.00,5/07,17.08
100,"79,090,048","1,475,031,673","28,736",23.20,1/05,12.80,12/20,17.30
101,"45,697,702","733,543,046","17,039",18.40,9/20,12.85,1/09,15.84
102,"72,568,974","1,465,926,057","26,089",23.95,6/10,16.75,1/02,19.82
程蔼基,ら戳,程基,ら戳
56.00, 97/4/18,8.22, 98/3/03
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
