"6116 眒垂 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
93,"2,456,413,086","26,563,308,643","390,699",13.00,9/08,9.10,11/08,10.60
94,"12,664,767,294","120,403,846,905","1,465,588",12.50,2/14,6.10,10/27,9.08
95,"7,711,300,549","45,039,954,028","917,895",7.99,1/02,4.04,8/29,5.56
96,"13,925,475,038","130,236,068,226","1,774,070",16.90,11/02,4.92,3/07,8.77
97,"7,474,645,421","75,308,640,429","1,154,698",15.30,4/23,3.15,11/21,9.75
98,"15,327,635,645","110,966,721,422","2,010,875",9.03,5/18,3.75,3/03,6.67
99,"4,915,191,762","32,820,055,934","841,255",8.70,1/04,5.33,5/25,6.36
100,"3,936,222,316","12,023,535,056","545,104",5.96,1/05,1.20,12/20,3.70
101,"6,249,726,575","16,714,708,367","611,133",4.10,3/08,1.49,9/06,2.53
102,"9,317,031,958","105,782,199,322","1,435,822",15.95,6/07,3.12,1/10,9.50
程蔼基,ら戳,程基,ら戳
16.90, 96/11/02,1.20, 100/12/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
