"6142 ね玪 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"101,691,510","2,945,245,229","32,649",34.50,12/31,23.30,10/01,26.88
93,"284,574,267","7,945,095,885","75,779",36.00,2/02,21.00,10/28,26.99
94,"999,902,201","39,244,880,821","300,530",53.30,7/20,21.80,1/28,38.27
95,"695,071,839","21,482,475,691","236,796",45.90,1/06,20.00,10/11,28.94
96,"1,293,025,000","47,960,630,720","437,580",48.40,7/10,23.85,12/19,34.63
97,"308,533,240","5,658,212,138","109,474",28.00,1/02,7.55,11/21,17.55
98,"1,038,429,617","16,253,605,634","274,735",19.20,10/15,9.15,2/24,14.50
99,"368,324,780","6,371,910,192","119,883",19.65,1/14,14.35,11/17,16.66
100,"128,313,702","1,489,301,169","49,687",15.20,1/21,7.60,12/19,11.07
101,"175,796,241","1,570,907,984","50,874",11.00,3/12,6.39,10/26,7.93
102,"211,026,670","1,947,013,870","60,376",10.90,5/22,6.90,2/18,8.97
程蔼基,ら戳,程基,ら戳
53.30, 94/7/20,6.39, 101/10/26
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
