"6145 玪ッ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"150,442,600","6,020,848,992","61,665",49.00,8/25,34.20,9/25,39.07
93,"740,920,748","18,684,142,143","207,609",46.30,4/06,9.45,11/30,27.88
94,"1,068,794,674","17,108,338,038","212,733",26.30,3/15,6.29,5/16,13.14
95,"951,813,007","19,880,538,595","249,373",32.50,11/22,10.60,5/08,16.47
96,"1,234,802,996","35,140,423,398","397,847",42.00,7/25,13.35,12/18,25.23
97,"625,968,132","8,576,326,513","186,973",19.65,4/28,2.86,11/21,11.32
98,"1,985,733,887","39,639,122,812","532,549",33.75,12/31,4.86,1/21,17.29
99,"1,152,226,025","29,659,814,447","391,875",34.25,1/04,13.55,11/09,23.52
100,"544,827,263","7,874,458,231","175,158",21.40,2/08,8.71,12/09,12.89
101,"696,813,981","8,406,820,663","203,176",15.40,9/06,6.55,7/25,10.81
102,"442,701,982","9,662,444,144","168,054",27.65,4/08,12.00,1/02,20.55
程蔼基,ら戳,程基,ら戳
49.00, 92/8/25,2.86, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
