"6196  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
93,"38,144,222","1,854,464,894","18,914",71.50,5/26,40.00,8/04,49.76
94,"186,565,941","7,603,506,199","82,667",52.50,7/29,25.50,10/27,38.99
95,"167,280,947","4,816,747,402","65,142",35.80,1/06,21.75,9/15,28.06
96,"290,510,991","8,267,505,060","99,716",34.90,8/03,15.80,12/21,25.88
97,"93,428,215","1,516,577,773","32,807",21.80,5/22,6.83,11/21,15.01
98,"330,461,631","4,955,054,391","96,805",20.60,12/17,6.80,1/21,12.69
99,"300,476,968","5,175,944,408","96,550",19.85,1/04,13.00,5/26,16.40
100,"643,702,260","14,314,918,402","228,866",26.90,7/25,15.40,12/09,20.91
101,"273,804,445","5,714,958,061","109,864",25.30,3/02,13.90,11/21,18.90
102,"312,660,407","6,069,585,013","117,826",23.00,5/02,16.20,8/28,18.34
程蔼基,ら戳,程基,ら戳
71.50, 93/5/26,6.80, 98/1/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
