"6197 ㄎゲ礨 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
93,"19,044,375","894,449,159","8,731",49.50,11/18,42.70,11/08,46.49
94,"320,796,048","14,267,423,319","128,729",57.50,7/15,24.30,10/31,41.68
95,"663,705,580","32,450,667,349","268,329",72.50,12/29,31.50,2/27,44.12
96,"1,000,265,827","121,525,968,287","561,187",223.00,7/26,64.30,12/18,124.89
97,"959,047,215","60,354,436,639","539,574",93.90,7/23,22.55,11/21,62.07
98,"967,521,699","58,536,856,418","510,220",98.70,11/24,36.55,1/16,53.28
99,"1,266,935,639","143,852,551,471","765,436",175.00,1/19,59.80,11/05,110.76
100,"410,826,903","20,714,520,113","257,390",70.00,1/03,20.10,11/24,47.53
101,"237,475,932","7,107,080,112","130,829",39.00,2/16,21.90,11/06,27.75
102,"193,464,549","5,115,873,662","93,335",29.30,5/22,23.45,6/25,25.78
程蔼基,ら戳,程基,ら戳
223.00, 96/7/26,20.10, 100/11/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
