"6257  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"141,537,734","7,287,402,141","56,716",63.00,9/19,33.10,8/25,49.64
93,"313,828,747","11,311,334,511","112,506",59.50,2/23,19.80,10/18,33.20
94,"504,205,619","10,327,621,880","134,773",24.50,12/23,13.65,10/20,18.95
95,"863,573,368","18,309,020,342","239,315",25.80,4/19,16.05,6/21,20.08
96,"1,329,481,730","31,415,832,123","354,666",30.90,7/25,14.40,12/18,22.30
97,"429,699,901","6,324,237,015","126,579",20.00,4/17,5.43,11/21,14.05
98,"1,622,318,202","24,315,012,745","360,593",20.85,12/25,6.35,2/02,13.54
99,"1,821,015,050","44,809,102,628","513,994",28.60,12/02,16.30,2/06,24.04
100,"745,571,037","18,835,374,348","253,449",30.30,1/19,16.80,8/23,23.92
101,"694,562,814","16,384,852,192","255,679",26.15,9/10,18.95,1/02,23.16
102,"851,764,305","24,133,829,924","377,499",34.35,4/23,23.50,6/25,27.93
程蔼基,ら戳,程基,ら戳
63.00, 92/9/19,5.43, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
