"6269 皃 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"66,586,321","2,660,979,953","23,763",45.90,12/15,29.90,9/23,40.39
93,"180,587,024","6,343,416,820","68,926",54.00,1/27,21.20,11/30,35.93
94,"483,288,343","9,649,276,949","123,614",26.90,3/24,9.20,10/28,17.71
95,"285,151,870","4,079,293,324","66,999",18.70,1/06,9.01,6/21,12.75
96,"303,152,003","5,235,975,448","69,440",20.15,10/29,13.50,8/17,16.65
97,"233,111,834","4,032,057,030","66,664",24.15,5/23,7.78,11/21,16.53
98,"1,132,421,113","32,465,188,812","344,880",57.70,12/08,10.30,1/15,28.35
99,"937,811,441","44,279,630,549","386,228",62.20,12/15,34.75,5/26,46.04
100,"979,207,129","69,107,342,615","463,464",99.00,7/29,49.10,3/17,70.11
101,"1,465,475,912","166,631,201,299","826,030",143.00,3/16,77.00,1/02,115.96
102,"1,084,998,128","108,722,283,604","630,600",121.00,8/23,82.50,3/07,100.18
程蔼基,ら戳,程基,ら戳
143.00, 101/3/16,7.78, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
