"6277 Щタ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"12,501,398","1,332,635,215","5,206",111.50,11/05,95.50,10/31,107.20
93,"64,606,946","6,151,788,330","24,621",131.00,2/23,59.50,10/14,89.49
94,"93,894,848","6,990,387,345","47,451",83.80,7/20,59.00,1/25,72.01
95,"106,143,661","9,014,295,460","55,840",96.50,5/22,72.00,1/02,83.71
96,"287,433,305","38,830,361,305","154,406",185.00,7/26,85.00,12/18,124.46
97,"83,851,587","5,633,680,455","50,462",99.30,1/02,34.20,11/17,61.28
98,"157,244,307","8,390,212,001","85,450",70.50,12/03,38.00,3/03,46.61
99,"53,467,946","3,139,624,275","31,239",69.00,1/04,49.70,2/06,55.72
100,"70,855,629","4,492,430,408","46,681",83.90,7/25,45.80,3/15,56.52
101,"32,374,114","1,755,049,123","22,561",64.80,3/12,41.50,11/01,52.47
102,"103,706,486","7,171,538,893","70,239",93.20,12/09,42.80,1/21,59.88
程蔼基,ら戳,程基,ら戳
185.00, 96/7/26,34.20, 97/11/17
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
