"6281 瓣筿 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
94,"13,427,155","561,092,833","5,475",46.00,12/08,38.50,12/30,41.10
95,"61,689,141","2,449,431,426","27,412",45.00,5/05,31.20,8/28,37.94
96,"49,147,133","2,810,967,976","22,046",81.00,7/13,40.95,1/05,59.56
97,"76,841,142","3,278,953,770","32,001",66.00,5/19,21.65,10/30,44.20
98,"147,309,242","5,386,204,599","63,910",44.15,8/19,24.20,2/03,35.79
99,"57,802,905","2,786,595,414","30,629",54.00,2/22,41.60,1/27,48.12
100,"86,134,511","4,402,080,365","40,486",57.30,8/01,46.60,9/26,50.75
101,"41,519,580","2,650,703,806","28,106",73.00,9/03,52.70,1/16,63.64
102,"36,406,088","2,529,205,774","24,734",75.80,5/23,59.00,11/20,68.56
程蔼基,ら戳,程基,ら戳
81.00, 96/7/13,21.65, 97/10/30
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
