"6285 啟碁 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
92,"46,477,266","6,377,165,905","27,980",160.00,9/24,119.50,10/09,134.01
93,"203,874,942","14,032,386,670","95,441",141.50,2/24,35.80,8/19,73.54
94,"740,892,587","52,198,914,065","299,226",87.60,6/15,48.50,1/13,67.77
95,"823,579,633","73,632,564,018","400,506",139.00,5/02,63.30,6/21,91.76
96,"755,825,444","65,401,460,351","360,255",108.00,7/27,50.60,12/18,82.64
97,"609,070,384","25,770,063,221","266,751",66.60,5/07,17.00,11/21,42.23
98,"1,321,309,391","47,974,469,513","494,115",55.60,12/30,19.55,2/13,34.94
99,"778,039,502","47,293,455,525","361,917",74.50,12/14,46.70,2/06,60.38
100,"1,656,833,187","133,363,787,809","889,155",127.00,6/02,42.50,12/20,85.44
101,"803,055,364","47,219,497,995","460,695",70.50,3/02,39.70,11/22,55.77
102,"830,067,730","50,755,328,890","460,398",78.70,12/11,42.50,6/25,55.95
近年最高價,日期,近年最低價,日期
160.00, 92/9/24,17.00, 97/11/21
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
