"6505 鹅て Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"136,193,436","6,842,549,041","54,371",51.50,12/30,46.00,12/26,49.30
93,"1,892,501,860","103,870,435,001","348,538",60.00,10/12,49.80,5/17,54.71
94,"1,864,134,502","115,335,600,265","271,626",67.50,6/24,55.00,7/21,61.90
95,"1,269,923,272","77,279,916,007","259,198",72.00,12/29,55.60,7/18,61.03
96,"1,405,522,509","119,767,453,443","405,524",108.00,11/01,65.70,3/07,83.81
97,"1,783,115,478","147,318,795,652","612,104",105.00,1/15,63.90,9/18,81.08
98,"896,056,324","67,046,442,380","352,339",87.90,5/05,55.00,3/03,75.72
99,"749,933,178","60,246,832,811","276,301",99.10,12/31,71.00,8/27,81.30
100,"813,445,656","75,692,289,096","361,636",112.00,7/25,76.60,8/19,93.55
101,"511,771,175","44,761,937,186","282,426",97.00,4/02,77.50,6/08,86.93
102,"496,916,224","39,492,911,330","251,476",88.50,1/03,69.00,6/25,79.56
程蔼基,ら戳,程基,ら戳
112.00, 100/7/25,46.00, 92/12/26
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
