"8101 地玜 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
93,"50,972,436","1,188,280,669","18,403",41.90,7/01,14.80,11/09,20.51
94,"1,317,168,166","34,247,760,820","333,890",36.80,12/29,13.90,9/02,22.59
95,"2,229,435,173","84,788,971,055","700,693",59.30,4/21,23.80,9/15,34.29
96,"1,276,049,046","42,326,975,296","415,896",44.20,6/28,16.95,12/21,30.55
97,"429,725,417","6,861,192,216","141,130",26.30,4/30,3.73,11/26,14.56
98,"1,235,844,178","13,698,028,289","291,518",15.05,12/31,4.43,1/20,10.41
99,"688,054,132","9,600,310,116","193,097",19.90,12/31,9.31,5/26,12.57
100,"1,624,182,857","31,646,720,342","562,068",23.90,7/07,13.20,4/19,18.27
101,"1,325,585,508","26,583,317,418","483,355",30.00,2/22,10.70,11/01,17.68
102,"536,594,919","7,773,741,405","198,291",16.95,10/21,10.95,6/21,13.88
程蔼基,ら戳,程基,ら戳
59.30, 95/4/21,3.73, 97/11/26
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
