"8110 地狥 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
96,"56,837,881","850,295,846","16,716",18.80,10/31,11.50,12/21,14.75
97,"227,053,168","2,359,038,698","59,358",13.80,4/25,3.08,11/21,9.19
98,"1,076,984,370","12,103,591,594","216,272",18.00,12/25,3.75,2/02,8.11
99,"1,056,634,778","16,775,643,480","272,368",18.40,1/13,12.80,5/26,15.21
100,"820,948,532","12,053,334,194","209,629",18.95,2/08,8.90,12/20,13.13
101,"408,765,850","4,018,929,961","114,442",12.75,2/17,6.79,11/22,9.17
102,"705,908,929","7,405,133,067","180,535",12.00,5/23,8.40,1/02,10.09
程蔼基,ら戳,程基,ら戳
18.95, 100/2/08,3.08, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
