"8131 福懋科 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
96,"34,631,793","1,942,746,496","15,813",59.80,12/07,50.30,12/18,56.31
97,"161,842,841","5,946,599,079","78,408",56.30,1/02,14.75,11/21,37.07
98,"398,247,032","12,801,389,075","150,199",49.25,12/31,19.00,1/13,30.29
99,"290,055,682","13,431,305,836","128,850",59.40,3/24,33.20,10/22,43.07
100,"132,167,100","4,597,126,955","64,855",46.00,1/24,21.15,12/20,32.52
101,"106,730,296","2,837,976,760","52,904",35.00,3/13,14.70,11/21,23.67
102,"144,059,236","2,763,854,094","66,202",23.30,4/17,16.15,1/28,18.46
近年最高價,日期,近年最低價,日期
59.80, 96/12/07,14.70, 101/11/21
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
