"9907 参龟 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"297,989,601","19,819,607,976","138,217",80.00,5/10,44.70,12/11,65.01
81,"345,479,017","19,636,903,003","131,795",74.50,6/12,32.20,12/21,56.05
82,"576,254,314","19,622,634,084","144,576",42.00,4/07,25.60,11/26,32.38
83,"834,145,520","27,907,373,624","164,661",39.40,12/30,26.00,10/11,31.51
84,"843,517,902","30,909,309,616","178,532",42.80,4/06,28.30,8/15,35.20
85,"714,207,095","26,853,638,546","139,699",46.00,7/02,32.30,3/06,36.81
86,"2,160,528,642","82,211,714,581","436,005",46.50,6/20,24.60,12/01,35.26
87,"698,801,313","15,420,196,220","146,144",28.80,4/04,15.00,9/01,21.57
88,"576,223,487","8,963,871,295","107,196",19.80,5/04,10.20,11/29,14.65
89,"1,032,704,234","11,913,074,072","161,275",17.70,2/22,3.82,11/21,10.04
90,"609,723,720","3,533,741,083","89,615",8.20,3/26,3.67,9/19,5.05
91,"2,373,701,018","18,035,405,832","300,460",11.10,12/11,3.97,1/17,6.62
92,"2,910,838,746","29,207,072,201","403,998",13.20,1/23,7.45,5/02,9.62
93,"2,777,371,434","31,052,868,879","397,410",14.40,3/19,7.60,8/18,9.91
94,"620,616,961","4,935,409,531","111,481",9.80,1/04,5.80,11/09,7.71
95,"1,427,713,556","13,388,358,303","230,921",14.70,12/29,5.90,3/24,8.10
96,"2,907,518,601","45,297,084,674","588,842",20.30,8/23,11.10,3/06,14.31
97,"1,732,750,078","24,879,531,354","412,635",19.15,5/15,9.17,10/28,13.63
98,"1,753,458,313","20,979,890,830","372,640",13.70,6/02,9.34,1/16,11.67
99,"1,811,294,159","26,059,186,864","353,462",16.90,11/10,10.60,2/06,14.12
100,"1,400,327,227","24,099,039,549","383,557",20.40,7/25,13.00,12/19,16.10
101,"777,144,249","12,790,714,774","249,994",18.55,8/06,13.80,1/09,16.13
102,"1,492,836,225","36,733,535,390","498,978",33.20,10/31,16.70,1/28,24.79
程蔼基,ら戳,程基,ら戳
80.00, 80/5/10,3.67, 90/9/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
