"9908  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"185,463,915","13,633,019,317","89,265",87.50,2/26,50.50,10/23,67.65
81,"53,700,791","3,095,842,283","18,515",70.00,1/28,40.40,9/18,53.82
82,"144,302,939","6,744,112,934","46,869",55.00,4/26,36.90,11/25,44.76
83,"104,476,245","3,781,880,373","35,048",47.20,1/06,26.80,10/11,34.24
84,"105,144,760","2,289,418,153","32,549",30.90,1/05,15.80,8/15,22.00
85,"327,327,383","7,612,982,604","74,672",26.70,8/03,17.90,3/13,22.22
86,"664,080,009","19,191,207,850","131,866",34.70,4/25,20.60,10/04,26.73
87,"291,059,499","7,564,247,845","63,104",31.50,4/04,17.00,12/31,24.60
88,"207,804,567","3,240,005,057","43,125",20.00,5/10,10.90,11/08,14.54
89,"513,863,687","10,834,010,152","124,132",29.50,3/28,10.00,11/03,16.63
90,"226,117,379","2,738,408,916","51,257",17.30,2/05,8.10,7/19,11.64
91,"183,654,694","1,981,907,931","31,296",13.30,4/09,8.10,9/25,10.32
92,"145,949,448","1,475,072,468","22,164",11.50,1/27,9.10,3/25,10.00
93,"262,512,810","3,444,802,747","43,148",15.10,2/10,10.40,1/15,12.48
94,"59,492,600","751,372,709","15,739",13.80,3/07,11.30,10/26,12.46
95,"164,337,323","2,360,876,696","35,107",17.95,5/15,11.70,2/15,13.57
96,"134,688,701","2,320,632,582","37,492",20.40,4/16,14.80,8/17,17.03
97,"280,894,448","5,245,393,921","71,348",25.15,5/22,10.40,11/18,16.71
98,"201,544,625","3,066,101,558","49,612",17.80,7/13,11.15,2/05,14.80
99,"94,282,108","1,658,425,685","26,635",18.90,12/06,16.50,7/19,17.52
100,"56,820,234","1,017,781,145","21,300",19.00,6/15,16.65,8/09,17.95
101,"125,482,910","2,389,855,678","36,275",22.15,9/14,17.80,1/18,19.27
102,"53,565,124","1,175,134,942","21,337",23.30,7/16,20.50,4/25,21.90
程蔼基,ら戳,程基,ら戳
87.50, 80/2/26,8.10, 91/9/25
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
