"9910 伦 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
81,"57,141,474","4,474,722,228","30,445",96.00,3/14,55.50,2/18,73.73
82,"95,718,641","7,719,359,888","39,272",102.00,12/31,65.50,1/07,78.73
83,"13,831,914","1,189,488,718","7,910",102.00,1/05,71.50,11/29,81.75
84,"11,802,184","781,381,849","6,637",89.50,4/08,38.50,8/15,61.26
85,"62,676,684","3,806,700,928","25,209",76.00,12/31,41.00,3/13,51.34
86,"531,313,418","47,630,845,064","192,948",123.00,3/17,46.60,10/29,86.45
87,"614,028,828","52,330,412,927","209,125",125.50,4/08,47.00,12/30,81.04
88,"376,101,312","19,366,827,079","131,251",77.50,7/05,36.10,11/06,47.93
89,"315,928,390","10,993,882,053","105,783",48.20,2/21,18.10,11/21,33.18
90,"519,198,180","12,446,569,140","139,236",28.90,2/21,18.50,7/25,23.06
91,"753,146,867","22,145,309,944","180,789",37.20,5/30,23.20,8/06,28.12
92,"217,687,621","6,245,554,177","69,656",34.00,12/31,24.70,4/30,28.02
93,"78,911,692","2,772,922,873","24,037",38.80,2/17,31.00,7/15,34.61
94,"51,522,130","1,799,034,224","14,345",36.85,6/24,31.80,7/06,34.81
95,"73,890,208","2,086,035,258","25,054",37.30,1/11,23.90,11/03,30.38
96,"191,817,671","5,324,641,236","56,712",30.95,8/08,24.20,12/18,27.22
97,"95,988,363","2,108,735,545","39,546",26.20,1/02,13.75,11/20,20.77
98,"140,190,853","3,478,273,745","51,076",30.20,12/09,15.00,2/05,22.84
99,"171,325,079","5,341,123,887","68,957",35.00,4/16,25.90,2/06,30.61
100,"52,318,399","1,484,711,203","30,010",33.35,1/19,23.65,9/14,28.30
101,"86,757,870","2,652,906,653","43,676",34.95,12/28,25.80,1/18,29.65
102,"217,306,528","13,280,124,401","136,287",79.70,10/08,34.00,1/18,56.49
程蔼基,ら戳,程基,ら戳
125.50, 87/4/08,13.75, 97/11/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
