"9911 腻 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
81,"76,702,322","5,057,184,662","34,352",88.00,8/03,36.30,7/16,57.32
82,"817,205,689","49,215,341,506","205,975",80.00,12/31,37.20,1/11,54.32
83,"776,004,739","51,022,707,146","214,895",88.00,1/06,42.50,12/01,61.06
84,"539,090,693","18,711,220,391","114,176",47.10,1/05,24.10,8/11,34.66
85,"882,009,725","37,110,189,286","127,083",54.00,12/31,34.50,1/06,41.11
86,"1,362,327,668","87,172,641,363","213,741",80.50,3/19,42.60,10/28,60.67
87,"667,067,262","52,147,472,895","118,897",105.00,4/08,48.00,1/12,73.36
88,"448,935,461","7,658,774,594","96,803",60.50,1/05,5.30,11/08,15.50
89,"331,924,086","3,339,271,874","71,327",16.00,2/22,4.17,11/21,8.97
90,"911,506,590","10,166,780,087","206,532",17.60,3/27,4.20,9/28,10.36
91,"681,256,783","8,579,591,860","156,506",17.30,2/01,6.15,10/14,12.03
92,"706,604,138","7,193,620,016","137,120",14.10,1/23,6.65,5/02,9.51
93,"736,769,062","8,588,791,793","131,653",15.20,3/19,8.00,8/18,10.14
94,"242,308,331","2,014,383,741","51,930",10.50,1/04,6.20,10/21,8.07
95,"358,346,688","2,421,334,844","67,029",10.95,12/29,4.31,3/20,6.00
96,"1,349,943,066","16,552,279,937","285,688",15.85,8/28,8.55,3/06,11.07
97,"876,934,243","10,743,927,332","207,899",15.60,5/21,5.74,10/28,10.49
98,"1,971,835,000","27,566,056,836","433,288",17.70,12/22,7.05,1/21,12.74
99,"2,087,576,875","49,654,450,892","605,868",32.70,8/17,13.00,2/06,23.16
100,"647,057,087","13,992,828,561","232,321",26.25,4/11,14.10,12/20,20.23
101,"281,692,265","4,795,417,983","100,022",20.05,3/03,13.70,6/04,16.13
102,"258,744,743","4,609,232,220","89,988",21.35,12/05,15.20,3/19,17.40
程蔼基,ら戳,程基,ら戳
105.00, 87/4/08,4.17, 89/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
