"9924 福興 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
84,"56,108,320","1,569,151,390","19,503",40.30,3/18,19.10,8/14,25.64
85,"109,042,314","2,312,380,755","27,824",24.70,8/08,18.70,3/13,20.59
86,"254,849,231","6,330,239,418","57,731",33.00,4/08,17.20,10/29,24.98
87,"1,225,319,696","50,260,866,077","304,881",60.00,7/17,20.30,1/13,38.43
88,"568,606,037","21,956,606,517","160,900",47.70,3/25,18.50,12/18,34.16
89,"310,341,330","5,582,323,911","79,646",27.80,2/21,7.75,11/21,17.05
90,"1,005,605,233","23,564,864,217","262,778",30.60,12/18,10.55,1/12,22.22
91,"520,278,497","13,322,178,820","143,709",30.30,1/18,17.00,10/07,22.95
92,"361,092,139","8,812,012,440","87,198",32.90,11/06,18.50,4/01,24.06
93,"126,080,014","4,114,719,509","37,393",36.80,3/02,28.10,7/20,31.77
94,"92,195,777","3,305,209,905","22,276",38.80,5/19,30.80,5/04,35.60
95,"91,308,905","3,169,088,460","29,909",40.20,7/12,27.40,9/15,33.32
96,"84,929,901","2,303,552,013","33,347",30.60,7/04,19.30,12/18,26.30
97,"66,964,793","1,019,846,603","21,860",21.75,1/02,8.90,10/27,15.19
98,"123,581,046","2,130,235,731","41,446",20.80,12/30,9.60,3/03,15.65
99,"94,469,221","1,978,076,060","33,474",25.40,12/23,18.05,2/08,20.16
100,"50,020,887","1,057,793,108","23,698",25.80,1/07,16.20,9/26,20.18
101,"132,429,237","2,758,713,584","48,379",26.30,12/25,16.35,1/18,20.96
102,"227,026,734","7,244,149,180","114,201",39.30,7/26,25.50,1/03,29.96
近年最高價,日期,近年最低價,日期
60.00, 87/7/17,7.75, 89/11/21
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
