"9927 皇 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
88,"67,985,054","1,787,854,269","18,173",35.30,5/07,15.50,11/09,25.24
89,"93,409,610","1,736,226,618","24,605",28.20,2/18,8.10,11/23,16.00
90,"314,601,600","5,038,613,199","75,685",21.40,4/09,8.50,1/02,14.50
91,"464,037,557","11,825,962,672","118,258",32.00,3/13,14.70,10/14,23.94
92,"257,433,997","5,583,446,383","67,005",26.50,1/23,14.90,4/30,20.34
93,"733,132,121","26,935,417,819","217,673",51.00,3/10,24.00,1/12,34.75
94,"197,991,974","5,475,051,823","67,981",35.80,1/04,18.00,10/28,26.83
95,"593,444,005","15,560,835,184","157,671",29.75,5/15,21.15,1/02,25.28
96,"718,114,325","38,420,989,227","248,474",85.00,10/05,26.50,2/06,48.07
97,"358,412,719","17,224,735,906","172,826",67.50,1/10,11.90,11/21,40.33
98,"428,631,131","15,665,632,761","168,757",50.00,10/19,13.20,1/16,32.36
99,"277,900,269","11,841,375,898","131,292",50.90,1/07,33.00,9/02,40.30
100,"178,506,659","6,855,225,993","107,268",43.70,4/11,26.75,12/20,35.84
101,"43,046,693","1,239,913,959","24,013",32.60,9/18,24.75,6/15,28.24
102,"89,293,902","3,095,767,281","47,031",39.65,7/26,30.10,3/20,33.65
程蔼基,ら戳,程基,ら戳
85.00, 96/10/05,8.10, 89/11/23
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
