"9930 い羛戈 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
88,"11,417,127","173,505,541","4,562",17.50,11/23,12.60,12/09,14.16
89,"36,145,628","551,827,755","12,541",19.70,2/19,10.65,12/05,14.13
90,"13,930,317","159,964,281","4,802",14.00,3/19,7.80,11/02,10.59
91,"57,359,716","747,552,208","12,847",15.00,6/11,9.00,1/08,12.23
92,"30,539,077","422,362,515","6,654",16.60,12/30,12.00,7/22,13.02
93,"122,009,424","2,277,183,081","30,299",23.00,12/31,15.00,5/17,18.04
94,"106,646,551","2,673,563,573","30,728",29.70,9/07,21.40,2/03,25.22
95,"66,261,524","1,786,937,211","22,942",29.50,8/07,24.50,3/23,26.76
96,"151,087,968","5,681,534,982","63,972",45.25,4/26,28.70,1/03,34.25
97,"146,360,835","6,142,563,285","75,854",56.20,6/10,24.95,10/28,38.50
98,"101,416,139","4,054,172,211","50,607",44.10,6/08,30.55,1/05,39.98
99,"43,248,963","1,657,262,430","25,454",42.45,1/05,33.15,11/30,37.89
100,"55,786,179","2,273,783,907","31,911",45.30,5/11,35.65,1/03,40.15
101,"41,986,636","1,896,323,867","27,635",49.60,7/02,39.30,1/18,45.62
102,"34,458,574","1,893,111,668","25,491",62.90,11/11,48.70,1/08,54.88
程蔼基,ら戳,程基,ら戳
62.90, 102/11/11,7.80, 90/11/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
