"9934 Θ繫 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"17,466,840","520,859,555","7,142",39.00,10/02,20.40,11/21,30.78
90,"367,603,768","16,818,480,065","137,367",60.50,4/13,28.90,1/12,45.38
91,"345,987,525","18,406,254,276","118,028",63.50,4/24,41.10,9/30,52.76
92,"332,452,500","15,032,811,948","114,786",62.00,2/11,28.50,9/10,43.79
93,"102,925,933","4,220,018,318","37,189",49.20,3/05,33.50,10/27,40.37
94,"67,106,421","2,122,882,899","21,525",42.40,3/07,22.00,11/02,33.94
95,"117,288,316","3,578,499,091","35,960",41.30,12/15,23.30,4/04,30.30
96,"284,200,867","11,912,655,997","114,064",49.20,7/09,31.75,12/18,40.61
97,"85,043,818","2,217,952,526","34,562",37.10,1/02,11.80,12/26,25.38
98,"180,684,244","4,658,365,263","68,342",34.15,11/20,10.95,2/02,21.88
99,"429,096,149","15,275,399,617","164,176",44.80,8/17,26.50,2/08,34.25
100,"303,009,894","8,326,222,243","118,198",35.70,4/01,16.95,9/27,24.79
101,"196,607,859","3,901,407,560","68,359",23.20,2/10,12.15,11/01,18.90
102,"576,396,998","12,552,192,789","207,348",25.75,7/10,12.80,4/16,19.23
程蔼基,ら戳,程基,ら戳
63.50, 91/4/24,10.95, 98/2/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
