"9935 紋伦碔 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"6,732,755","50,741,877","1,510",10.70,9/11,6.90,10/19,8.00
90,"15,635,134","155,034,999","3,984",11.85,3/16,7.25,7/25,9.67
91,"209,265,376","4,535,810,813","50,504",31.90,5/28,9.70,1/18,18.93
92,"277,770,804","7,036,802,149","65,283",30.80,7/17,21.00,2/11,24.64
93,"170,846,351","3,847,286,592","43,778",28.80,3/11,14.20,8/18,19.39
94,"85,848,076","1,064,964,341","20,624",16.85,3/21,8.46,12/30,12.21
95,"78,657,937","645,670,426","16,228",9.50,5/04,6.04,9/15,8.16
96,"320,197,067","4,534,381,036","61,979",19.75,9/26,8.00,1/15,12.99
97,"399,957,263","7,032,814,463","70,435",26.90,3/11,3.15,11/24,15.83
98,"439,306,573","3,556,569,797","81,425",12.70,12/23,3.41,3/03,6.67
99,"416,743,446","4,946,562,070","89,619",15.20,4/30,8.80,2/08,11.14
100,"124,380,636","876,277,499","32,398",10.50,1/14,2.77,12/14,5.85
101,"66,783,614","449,774,751","17,078",8.13,8/29,4.30,1/02,6.50
102,"54,959,186","374,153,630","14,871",7.99,7/11,5.58,5/02,6.55
程蔼基,ら戳,程基,ら戳
31.90, 91/5/28,2.77, 100/12/14
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
