"9938 κ㎝ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"308,614,391","9,741,998,381","104,639",47.70,3/12,15.20,10/30,27.54
91,"531,023,620","18,803,151,301","145,964",44.40,8/02,21.20,1/02,34.70
92,"203,465,422","6,990,891,667","63,629",42.40,1/27,24.70,12/30,31.57
93,"144,375,393","3,540,264,090","41,129",28.30,4/16,16.50,11/04,22.54
94,"124,093,816","2,611,547,697","38,545",24.00,6/09,18.20,8/09,20.60
95,"423,127,233","9,782,877,451","102,797",30.10,12/29,18.30,9/07,22.28
96,"1,010,277,697","40,235,797,961","312,057",52.10,9/19,27.35,12/18,36.92
97,"283,294,336","6,836,169,016","115,530",37.50,4/25,9.22,12/24,22.76
98,"670,953,527","12,224,848,106","200,670",27.50,12/31,7.90,1/21,15.53
99,"813,336,564","23,361,271,389","255,363",35.20,10/28,21.20,2/06,28.50
100,"352,040,029","11,108,594,244","139,528",37.30,4/21,19.50,11/25,28.44
101,"101,261,112","2,194,174,440","50,385",25.90,3/20,15.25,11/06,20.35
102,"545,337,662","18,586,259,441","250,488",44.80,10/24,15.95,2/18,27.96
程蔼基,ら戳,程基,ら戳
52.10, 96/9/19,7.90, 98/1/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
