"9940 獺竡 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"6,641,044","89,936,583","1,284",16.20,12/13,9.65,10/12,13.22
91,"24,041,911","774,247,915","11,535",41.10,11/18,14.90,1/02,30.43
92,"35,956,255","2,046,887,503","18,356",82.50,12/03,32.30,5/02,49.34
93,"40,509,660","3,208,964,854","21,842",109.00,3/03,47.00,8/18,75.90
94,"31,852,102","2,058,376,952","17,796",87.50,3/10,52.00,9/22,66.89
95,"47,480,110","3,665,243,170","22,443",91.40,5/08,55.20,2/24,74.86
96,"21,965,292","2,126,510,608","12,545",141.00,7/27,67.00,12/21,96.09
97,"77,874,605","6,078,520,596","42,221",138.00,3/31,19.50,11/21,76.04
98,"303,070,255","15,525,525,157","132,947",72.60,5/26,23.55,1/20,49.40
99,"136,904,459","8,062,646,113","73,292",65.80,1/05,48.10,7/30,57.98
100,"164,958,281","9,002,647,240","97,083",72.60,6/29,35.60,12/20,51.85
101,"88,087,543","3,688,806,524","54,651",49.50,3/22,36.80,7/16,41.56
102,"100,779,053","5,191,328,677","65,041",58.00,5/28,42.30,1/07,50.85
程蔼基,ら戳,程基,ら戳
141.00, 96/7/27,9.65, 90/10/12
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
