"9943 贾瓆 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"52,552,172","1,191,008,033","16,788",27.70,8/26,19.00,10/14,22.37
92,"183,675,503","4,295,666,965","43,371",27.80,2/06,17.20,5/05,22.91
93,"109,721,711","2,521,618,398","23,006",30.10,2/26,15.90,8/19,20.92
94,"75,931,496","1,694,123,459","15,491",26.95,6/14,18.00,11/07,21.97
95,"103,595,446","2,191,314,818","12,364",25.90,5/09,18.00,11/06,20.60
96,"27,959,408","594,163,280","11,932",25.00,7/24,18.20,6/22,20.48
97,"42,554,901","585,238,567","10,437",24.80,5/22,10.55,11/07,18.87
98,"138,723,548","3,183,433,276","37,023",32.75,12/31,11.50,1/13,21.95
99,"83,832,937","2,285,832,783","32,841",32.65,1/04,23.30,5/21,26.94
100,"146,671,584","5,850,629,878","59,747",51.70,8/12,27.20,3/16,37.51
101,"115,676,890","5,563,828,245","62,143",57.50,8/06,38.10,11/19,46.63
102,"47,673,046","1,914,492,901","29,023",46.50,6/07,34.00,11/12,39.38
程蔼基,ら戳,程基,ら戳
57.50, 101/8/06,10.55, 97/11/07
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
