"9945 柬穝 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
92,"863,798,689","4,837,542,360","78,705",7.15,2/06,3.25,5/02,5.14
93,"2,716,381,731","20,714,513,656","264,430",11.35,3/16,4.93,8/18,6.76
94,"1,392,840,601","10,612,468,839","172,146",9.27,7/25,5.61,4/19,7.16
95,"3,445,819,226","68,954,417,021","664,037",31.40,12/05,7.01,1/23,16.89
96,"3,092,792,727","96,917,832,259","788,055",41.20,8/14,20.90,12/18,29.80
97,"1,921,317,064","53,767,546,390","580,542",39.40,4/14,11.40,10/29,25.80
98,"2,353,743,767","69,725,400,998","745,781",44.90,12/15,15.55,2/11,28.43
99,"1,840,655,422","91,360,058,557","719,613",59.50,8/09,34.60,2/06,49.84
100,"1,606,358,501","61,036,720,296","685,240",54.00,1/13,27.90,8/26,39.82
101,"2,039,124,700","92,233,155,923","869,386",61.70,12/17,31.80,1/02,46.93
102,"1,433,400,144","86,943,537,882","711,267",69.60,2/06,50.70,7/04,60.32
程蔼基,ら戳,程基,ら戳
69.60, 102/2/06,3.25, 92/5/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
