"1201  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,127,400,458","46,975,227,411","321,552",51.00,4/29,26.50,1/17,40.34
81,"734,311,775","32,918,144,653","204,281",56.00,2/13,25.20,12/29,40.23
82,"1,202,435,554","38,886,555,877","258,531",41.90,4/07,23.30,1/08,29.93
83,"1,505,356,501","51,745,780,849","301,487",43.50,12/30,27.10,3/22,31.88
84,"1,136,455,496","33,237,859,190","237,595",43.20,1/05,17.80,8/15,28.20
85,"1,332,209,937","33,428,066,933","256,146",28.50,4/29,19.90,1/29,23.90
86,"2,018,073,195","76,382,921,651","336,297",68.00,12/11,24.80,1/06,38.97
87,"3,147,062,173","181,654,369,106","476,446",76.50,3/19,15.40,12/31,62.97
88,"1,830,392,134","36,247,931,302","402,754",26.30,3/19,8.00,12/28,16.38
89,"793,967,241","9,586,019,071","150,580",19.00,2/22,6.40,12/28,10.46
90,"752,502,476","7,221,270,446","149,095",14.80,3/23,4.55,11/05,7.95
91,"1,551,600,687","14,104,819,624","256,383",14.15,12/11,5.60,10/08,7.64
92,"1,500,580,900","16,322,274,127","256,662",15.60,1/21,7.20,5/02,9.75
93,"1,752,222,917","24,213,260,882","308,195",18.30,4/20,9.55,1/02,12.58
94,"500,735,403","5,202,164,970","92,208",13.00,1/03,8.01,10/20,10.14
95,"1,905,798,391","28,577,416,613","342,813",23.15,12/29,8.13,3/29,12.47
96,"1,532,951,967","38,298,691,459","420,000",30.50,4/23,14.00,12/21,23.83
97,"1,144,393,346","22,629,132,545","363,832",24.50,4/24,13.10,10/28,19.14
98,"2,381,237,108","85,295,511,160","747,454",48.85,12/10,15.85,3/03,34.25
99,"1,767,118,263","65,070,432,857","636,864",44.00,1/07,28.55,2/06,36.16
100,"930,574,031","32,235,414,125","347,756",40.90,8/02,26.20,9/27,33.35
101,"493,273,597","16,514,194,828","181,185",37.30,3/03,29.30,6/04,33.01
102,"631,951,568","30,254,256,550","255,237",60.10,10/15,36.25,1/02,49.96
程蔼基,ら戳,程基,ら戳
76.50, 87/3/19,4.55, 90/11/05
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
