"1231 羛地 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
84,"34,104,748","1,157,333,119","6,056",38.70,12/29,28.70,11/06,33.21
85,"197,325,438","7,123,781,192","41,032",44.60,8/06,30.60,6/21,35.29
86,"329,333,890","18,332,059,644","60,551",75.00,9/02,32.70,1/04,55.62
87,"263,217,672","14,804,669,883","56,264",71.50,1/03,46.00,12/31,56.06
88,"286,306,110","12,155,446,677","60,352",51.00,9/17,27.90,2/05,42.80
89,"293,777,910","9,830,011,589","62,689",50.50,2/22,16.20,12/30,32.32
90,"198,180,645","3,148,490,758","48,177",21.20,3/19,11.00,7/19,15.60
91,"416,680,136","7,148,876,795","87,975",22.60,6/21,12.40,10/07,16.01
92,"209,165,194","2,603,884,507","40,070",17.30,2/12,9.00,9/15,11.52
93,"154,114,104","1,880,186,055","33,325",15.30,2/12,8.85,11/01,10.49
94,"84,440,318","861,214,888","19,875",12.30,3/23,8.80,11/08,9.58
95,"81,924,838","814,064,997","19,303",11.30,12/12,8.00,9/15,9.35
96,"194,586,481","2,484,946,546","48,044",16.75,7/19,9.83,1/15,11.71
97,"125,461,592","1,508,569,392","39,583",15.70,5/26,6.45,10/28,10.95
98,"112,887,365","1,330,375,788","36,794",14.70,8/17,8.20,2/02,11.53
99,"373,974,655","9,066,242,846","130,428",31.25,8/09,12.50,2/06,20.41
100,"329,729,064","12,654,084,942","148,242",49.95,8/02,22.55,3/15,35.16
101,"127,858,827","4,833,860,652","71,008",43.70,3/03,32.50,6/04,36.67
102,"142,208,245","6,129,918,588","72,972",56.80,7/18,34.20,11/14,40.58
程蔼基,ら戳,程基,ら戳
75.00, 86/9/02,6.45, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
