"1301 鹅 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,691,026,100","87,056,324,107","475,502",68.00,5/11,31.00,1/17,48.54
81,"334,431,948","13,947,023,035","100,105",50.00,1/30,32.00,9/18,39.21
82,"1,609,864,259","72,806,556,018","346,169",57.50,12/31,31.50,1/08,40.05
83,"2,818,518,141","166,267,340,025","610,372",70.00,8/02,46.00,2/28,56.88
84,"605,551,503","28,851,307,553","155,299",57.00,1/05,37.90,10/30,46.71
85,"2,556,616,217","150,487,088,137","531,378",75.00,12/03,37.60,1/06,53.24
86,"2,789,909,683","186,092,106,264","693,160",78.00,3/18,48.00,10/28,64.93
87,"3,275,944,672","174,962,148,033","792,790",72.50,2/03,34.20,9/03,53.06
88,"4,387,882,582","258,831,000,000","1,110,191",72.00,6/29,41.00,2/05,57.23
89,"3,053,731,845","188,787,732,397","827,657",76.00,2/18,43.20,11/21,58.75
90,"1,780,521,232","63,751,881,680","484,746",51.50,2/02,26.30,9/26,37.33
91,"3,039,885,617","127,307,608,221","716,994",49.50,3/04,29.90,9/25,41.28
92,"3,122,751,817","152,078,278,204","690,240",57.00,12/17,39.60,4/28,48.14
93,"3,287,724,173","168,260,196,525","627,899",58.50,1/09,42.40,5/18,51.36
94,"2,606,569,053","138,005,031,249","586,977",61.30,3/11,47.35,9/29,52.34
95,"1,946,259,897","96,318,815,295","516,040",54.90,12/05,43.95,7/17,49.11
96,"2,714,897,192","212,150,130,269","875,740",102.00,10/12,52.10,1/11,75.83
97,"4,170,545,710","301,175,711,975","1,388,795",105.50,3/24,41.40,12/26,71.31
98,"2,798,868,626","162,752,242,636","981,956",67.90,11/17,43.15,1/05,58.72
99,"2,499,965,796","188,384,517,448","816,935",97.90,12/17,61.80,6/02,74.46
100,"2,655,109,692","254,262,760,796","953,013",117.00,5/03,76.00,9/26,96.01
101,"1,947,485,362","157,893,623,785","766,962",93.90,2/20,67.40,11/15,81.36
102,"1,595,623,650","119,101,731,097","660,484",82.10,1/10,67.30,6/24,75.08
程蔼基,ら戳,程基,ら戳
117.00, 100/5/03,26.30, 90/9/26
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
