"1314 いホて Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,188,882,000","35,199,069,600","315,984",35.00,7/27,16.00,7/12,26.82
81,"583,889,262","12,090,901,470","140,830",27.80,1/30,13.50,9/26,18.73
82,"3,211,664,995","72,839,016,410","486,243",28.50,3/19,13.20,1/08,21.25
83,"9,358,218,812","323,716,089,325","1,406,771",47.20,8/29,19.30,3/22,32.27
84,"4,449,291,756","115,888,208,908","722,222",44.90,1/05,16.00,8/25,27.21
85,"6,175,690,833","176,876,613,071","870,073",38.70,12/03,19.00,2/07,27.37
86,"6,528,499,879","278,369,618,872","1,273,458",56.50,4/14,25.50,10/30,41.17
87,"4,738,407,724","130,270,403,248","861,074",38.00,4/07,18.30,9/03,26.96
88,"4,506,578,634","85,404,534,605","828,742",23.70,4/28,12.75,2/06,17.80
89,"3,318,312,413","47,349,333,849","519,703",19.50,2/21,3.75,12/30,12.07
90,"1,833,401,741","7,708,283,093","222,708",7.25,2/21,2.04,11/29,3.50
91,"4,894,057,340","24,397,367,872","510,973",7.70,4/09,2.08,10/08,4.42
92,"4,851,134,281","24,423,262,794","526,424",6.95,1/24,3.05,5/05,4.59
93,"7,798,892,838","54,239,895,468","853,814",8.90,3/15,4.36,8/18,6.40
94,"5,591,874,953","46,789,912,415","597,614",10.50,8/15,6.54,12/12,8.25
95,"6,076,574,447","52,899,253,564","721,653",10.40,12/11,6.60,8/28,8.01
96,"9,643,190,888","127,516,665,719","1,211,052",17.60,10/02,8.73,3/05,12.33
97,"8,064,081,178","114,381,856,815","1,348,460",21.40,5/23,4.98,10/28,12.31
98,"7,786,028,216","76,118,268,197","1,171,643",13.10,11/10,5.48,3/03,9.47
99,"5,545,886,003","103,326,873,743","1,018,120",31.30,12/06,9.98,2/06,18.83
100,"5,760,360,971","199,135,761,417","1,761,041",48.50,8/02,24.60,12/20,34.81
101,"6,699,755,088","175,275,312,374","1,985,563",39.35,3/02,15.85,11/21,26.17
102,"4,032,327,337","65,974,299,264","1,084,621",20.05,1/15,13.20,11/14,15.54
程蔼基,ら戳,程基,ら戳
56.50, 86/4/14,2.04, 90/11/29
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
