"1319 狥锭 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
83,"11,930,032","804,497,385","6,615",72.00,12/14,62.50,12/29,65.29
84,"161,215,120","7,780,786,023","42,382",71.00,7/14,34.00,9/21,55.23
85,"394,504,288","15,673,181,237","86,950",45.50,7/02,34.30,1/29,38.75
86,"688,638,129","28,146,087,735","157,181",54.00,3/21,23.50,12/01,37.71
87,"2,244,041,300","121,782,332,256","532,561",80.50,8/14,25.50,1/12,48.11
88,"654,112,433","18,557,465,540","178,542",35.20,4/20,16.40,11/08,24.58
89,"294,276,850","6,463,295,782","61,121",29.90,2/09,13.30,10/05,18.44
90,"200,557,199","2,960,749,526","42,420",17.30,4/18,12.10,9/19,13.94
91,"676,449,323","16,413,149,171","176,437",33.50,12/25,13.90,1/17,22.07
92,"481,557,797","20,032,110,267","171,773",62.00,10/22,30.00,1/02,44.69
93,"159,990,294","8,377,149,533","57,929",60.00,4/26,40.60,10/27,52.11
94,"185,465,029","7,954,775,077","72,742",50.50,1/12,38.10,5/13,43.27
95,"506,172,271","14,349,492,683","164,507",45.80,4/19,19.30,9/14,31.21
96,"887,267,935","28,788,567,786","256,722",42.00,9/05,23.55,12/18,32.28
97,"342,801,016","7,839,423,731","105,566",31.40,3/06,9.30,11/21,21.81
98,"1,067,059,378","36,558,674,931","354,559",61.50,12/10,11.25,1/05,34.73
99,"825,198,921","41,493,555,369","352,590",60.50,3/31,40.85,6/09,50.18
100,"609,155,571","22,620,773,188","278,845",44.30,1/05,27.05,9/14,35.72
101,"284,224,073","8,769,592,704","134,946",38.25,2/13,21.90,11/22,29.21
102,"693,120,575","27,814,506,637","338,878",50.50,10/15,25.00,1/17,36.90
程蔼基,ら戳,程基,ら戳
80.50, 87/8/14,9.30, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
