"1323 ッ肝 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"3,737,363","26,552,643","1,292",8.50,9/13,6.05,10/24,7.20
90,"17,658,320","141,652,587","5,886",10.90,5/07,5.35,11/02,6.88
91,"160,314,976","1,747,743,878","36,632",13.10,11/19,6.60,1/23,9.26
92,"96,885,439","1,108,953,584","24,061",13.55,2/06,9.50,5/02,10.94
93,"30,793,563","359,457,634","7,804",13.35,3/04,8.30,11/02,11.01
94,"11,281,836","108,543,375","3,399",11.30,2/16,8.50,12/01,9.46
95,"28,725,291","243,468,326","6,869",10.15,12/27,7.68,6/09,8.42
96,"171,813,528","2,844,238,854","46,299",25.15,7/30,9.35,12/18,13.06
97,"83,132,950","1,129,754,922","27,184",18.45,4/24,7.55,10/28,11.37
98,"117,312,105","1,791,093,222","37,557",20.95,12/03,8.50,2/03,12.51
99,"183,129,199","4,148,925,106","65,612",28.80,12/07,14.50,2/06,21.23
100,"35,345,586","867,428,318","15,210",27.60,7/25,17.00,12/29,22.88
101,"121,149,551","2,579,978,302","52,322",23.90,8/22,16.60,1/16,20.53
102,"331,691,725","12,389,727,139","181,482",49.80,8/14,21.30,1/21,32.64
程蔼基,ら戳,程基,ら戳
49.80, 102/8/14,5.35, 90/11/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
