"1402 环狥穝 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"989,156,472","42,633,414,913","230,995",53.50,4/15,24.10,1/16,39.28
81,"219,009,070","8,158,395,216","55,225",43.50,1/27,27.00,9/18,35.56
82,"689,065,236","21,563,522,097","119,341",38.50,12/31,21.80,9/16,28.05
83,"3,385,913,452","134,576,105,799","565,220",48.20,12/27,31.70,7/18,38.00
84,"1,428,705,230","49,245,773,784","248,447",44.60,1/05,25.00,11/15,32.60
85,"1,583,049,686","45,786,104,654","268,740",33.20,6/28,22.40,2/28,27.87
86,"4,030,742,672","166,805,121,390","707,292",53.00,4/15,27.50,1/04,40.51
87,"2,608,775,996","74,729,314,501","475,203",40.00,2/18,19.00,9/01,28.07
88,"4,573,565,734","208,826,000,000","920,900",77.00,12/09,22.20,2/05,42.53
89,"4,035,277,660","199,612,705,532","932,172",85.00,2/18,21.70,10/19,45.17
90,"4,451,642,836","78,067,876,636","733,328",30.90,2/05,8.60,10/19,17.64
91,"4,874,671,962","66,938,796,187","639,441",18.50,4/25,9.05,10/04,13.13
92,"4,926,964,066","74,460,597,815","614,973",19.70,11/06,10.05,4/28,14.57
93,"5,663,485,088","125,420,538,138","831,923",27.20,10/06,15.80,5/18,21.45
94,"2,903,713,716","63,591,750,664","527,538",26.50,8/12,17.05,10/20,22.06
95,"3,218,895,273","82,083,111,019","623,730",30.70,5/08,20.55,1/02,25.08
96,"3,676,493,271","130,956,297,986","794,577",48.45,10/12,25.10,3/06,34.50
97,"5,067,033,260","194,972,429,792","1,204,962",57.90,3/25,15.35,10/28,37.09
98,"4,072,293,912","138,707,232,038","1,113,582",43.30,10/26,18.90,3/03,33.42
99,"3,478,689,771","138,881,727,259","968,822",52.20,11/08,29.55,5/25,38.71
100,"3,567,711,078","147,488,577,302","1,069,184",52.20,1/04,28.50,9/27,41.06
101,"2,167,311,336","72,506,661,068","726,601",38.55,2/10,28.10,6/04,33.08
102,"1,308,723,271","42,760,815,140","479,670",35.15,10/07,29.95,4/09,32.71
程蔼基,ら戳,程基,ら戳
85.00, 89/2/18,8.60, 90/10/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
