"1417 嘉裕 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
80,"1,363,276,735","48,630,260,380","437,447",45.00,4/01,19.20,1/17,34.88
81,"620,992,942","19,468,381,010","183,587",36.50,1/30,21.50,9/26,30.14
82,"825,451,682","24,612,031,007","186,524",37.80,4/07,22.50,9/01,27.86
83,"1,142,708,849","33,351,849,442","243,367",41.60,1/07,21.40,10/11,28.38
84,"723,828,194","13,278,882,850","143,743",28.90,1/05,13.30,8/14,19.15
85,"1,140,513,621","19,502,284,544","204,226",19.70,5/04,14.55,1/29,16.34
86,"951,980,000","21,091,015,471","208,212",31.60,4/17,14.15,10/28,19.72
87,"1,298,865,621","25,296,488,997","233,922",23.80,6/18,14.65,1/12,18.09
88,"395,805,327","4,977,120,146","74,339",16.50,1/05,6.30,11/26,11.06
89,"349,495,206","2,993,701,411","58,418",13.50,2/22,2.82,11/24,6.97
90,"216,949,339","902,119,035","30,376",5.80,2/27,2.52,7/20,3.58
91,"1,060,642,897","7,507,586,751","112,233",11.70,11/20,3.60,1/02,7.67
92,"720,145,320","4,254,496,899","90,275",7.15,10/24,3.52,5/02,5.36
93,"908,987,087","6,744,267,731","106,861",9.45,2/11,5.10,5/11,6.33
94,"924,009,965","6,544,368,334","135,985",8.49,3/17,4.44,10/21,6.53
95,"429,721,562","2,809,914,525","74,953",8.40,12/27,4.60,2/27,5.99
96,"1,285,186,225","12,253,339,074","210,979",12.85,7/19,5.91,12/20,8.49
97,"846,175,053","7,173,551,548","153,960",11.55,5/20,3.25,10/28,7.05
98,"1,055,605,091","7,142,665,619","178,915",9.45,12/21,3.55,2/02,6.07
99,"1,840,972,825","19,296,621,939","355,529",12.80,8/17,6.94,2/06,10.00
100,"606,374,337","6,279,763,213","157,463",12.80,1/04,7.70,12/20,9.72
101,"675,016,715","6,969,637,277","148,747",11.75,8/22,8.26,1/02,9.98
102,"241,570,611","2,215,273,953","69,077",10.10,1/11,8.37,8/30,9.07
近年最高價,日期,近年最低價,日期
45.00, 80/4/01,2.52, 90/7/20
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
