"1418 狥地 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"491,363,310","25,003,680,959","164,071",69.00,5/07,28.00,1/16,47.25
81,"268,321,827","11,172,958,925","83,402",57.00,3/02,27.50,12/29,40.48
82,"202,235,105","6,247,057,720","56,156",38.90,4/07,22.00,9/16,28.51
83,"1,314,336,587","80,734,237,730","170,872",88.50,10/04,29.00,3/14,49.29
84,"317,435,514","9,920,746,821","78,773",52.50,1/05,19.00,8/15,30.93
85,"645,163,236","18,552,401,863","139,077",34.30,4/29,22.70,2/05,27.82
86,"609,575,504","17,284,987,549","127,140",36.40,3/20,18.20,10/29,25.51
87,"356,027,106","8,087,368,290","75,404",28.30,4/04,14.30,9/01,20.01
88,"218,332,391","2,521,982,927","40,273",15.00,4/28,6.30,11/29,11.08
89,"156,653,844","1,580,191,834","27,692",15.90,2/21,5.65,11/21,8.67
90,"61,555,203","379,212,119","11,145",9.10,1/30,2.66,11/07,4.85
91,"103,981,761","466,334,938","14,650",6.05,3/27,2.60,10/15,4.09
92,"324,465,284","1,457,489,838","39,340",6.70,2/07,2.40,5/02,3.93
93,"305,977,960","1,777,844,274","42,007",7.85,2/11,3.97,8/18,5.16
94,"84,039,079","322,382,256","13,867",5.60,1/04,2.28,11/14,3.27
95,"211,037,026","1,031,295,542","30,396",7.71,12/27,2.40,2/27,3.59
96,"400,832,338","2,488,107,491","72,982",8.89,7/19,3.17,12/26,5.38
97,"272,778,740","886,911,477","42,134",4.64,4/17,1.21,9/18,2.67
98,"270,216,104","2,225,532,788","54,481",14.60,12/15,1.57,3/04,5.96
99,"352,183,096","4,260,814,588","84,795",15.35,1/20,9.17,9/01,11.44
100,"141,271,874","1,530,943,662","35,968",12.75,3/24,6.01,11/24,9.52
101,"30,822,155","220,992,922","9,852",9.28,3/08,5.21,11/22,6.87
102,"45,110,039","267,284,516","13,415",6.89,6/07,5.10,4/16,5.83
程蔼基,ら戳,程基,ら戳
88.50, 83/10/04,1.21, 97/9/18
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
