"1447 腜 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
81,"446,786,212","28,315,913,878","129,913",90.00,6/17,26.00,12/29,55.44
82,"958,317,181","33,309,428,266","207,919",45.80,4/07,24.10,1/07,34.06
83,"903,643,500","28,945,010,134","172,859",38.50,1/10,21.80,10/11,31.15
84,"347,423,947","7,247,404,570","76,218",28.40,1/05,14.50,8/25,20.64
85,"825,371,262","18,039,308,155","132,039",26.30,12/21,16.50,3/12,20.57
86,"1,626,822,776","48,096,244,852","243,352",35.40,8/13,22.50,11/20,28.69
87,"1,610,565,176","48,504,998,440","273,413",36.80,3/12,14.50,12/31,26.43
88,"746,764,561","12,263,271,487","115,438",21.30,5/04,10.10,12/28,14.88
89,"445,001,743","4,068,624,649","65,549",14.75,2/21,3.00,11/22,8.05
90,"231,900,156","887,493,200","34,315",5.40,4/13,2.52,7/16,3.45
91,"402,076,825","2,388,648,061","44,759",8.15,4/25,3.26,1/02,5.45
92,"936,107,101","5,664,195,929","100,943",8.65,1/24,3.78,5/02,5.23
93,"1,603,302,361","13,197,942,238","196,149",10.45,12/31,5.30,5/18,7.40
94,"701,339,555","5,901,100,926","116,489",10.90,1/03,5.65,11/09,7.67
95,"581,218,216","4,305,855,436","90,646",10.35,12/26,5.12,3/06,6.49
96,"1,078,775,381","13,181,425,987","186,343",15.50,8/15,6.71,12/21,11.31
97,"469,736,164","3,801,755,952","92,320",11.60,4/16,2.81,10/28,6.72
98,"1,185,726,085","11,536,022,957","186,834",14.40,11/09,2.92,1/21,7.89
99,"1,670,799,881","25,683,371,029","351,969",18.35,4/29,11.15,2/08,15.00
100,"1,100,110,856","16,401,409,562","252,653",20.30,2/18,7.05,12/19,13.14
101,"830,111,555","8,727,463,221","207,784",13.10,2/16,7.81,6/04,9.42
102,"1,155,360,256","15,650,618,955","266,925",16.40,10/08,9.67,1/17,12.36
程蔼基,ら戳,程基,ら戳
90.00, 81/6/17,2.52, 90/7/16
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
