"1451 砍 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
81,"2,837,087","144,295,670","2,018",52.50,12/23,46.00,12/21,49.27
82,"152,733,320","9,429,912,104","59,830",81.00,4/09,43.00,1/07,62.59
83,"197,611,707","10,998,265,943","56,562",71.50,1/10,43.00,10/11,53.07
84,"207,542,349","7,043,378,863","53,102",51.00,1/06,25.00,8/15,36.43
85,"668,222,631","24,874,632,883","142,070",45.20,12/23,29.70,1/05,35.24
86,"862,999,388","45,901,788,411","183,125",80.00,9/13,41.50,1/04,54.14
87,"457,239,703","33,814,374,784","118,310",92.50,5/20,56.50,1/12,73.41
88,"743,568,836","48,871,469,760","175,948",88.00,7/12,54.00,3/18,64.71
89,"637,028,788","37,329,811,218","173,445",83.00,2/21,27.50,11/02,51.40
90,"591,229,743","16,597,805,835","154,856",37.40,1/05,16.00,10/09,26.95
91,"781,280,354","22,613,085,963","176,262",35.90,8/09,21.60,1/23,28.49
92,"447,105,811","15,223,922,439","117,020",38.00,8/07,30.50,3/21,33.99
93,"220,160,526","6,933,415,527","69,222",35.30,3/10,25.20,7/26,30.91
94,"169,728,560","4,472,465,335","51,685",32.50,1/04,20.10,10/20,26.20
95,"398,801,570","7,572,222,655","104,857",23.60,1/12,15.95,8/24,18.98
96,"378,539,407","8,315,695,635","98,276",25.50,7/16,18.50,12/18,21.49
97,"318,497,902","5,180,727,276","64,923",21.60,4/11,6.91,11/24,15.06
98,"708,929,780","10,496,135,071","152,483",18.20,8/03,7.50,3/03,13.09
99,"629,523,314","12,706,976,889","170,968",25.50,10/18,15.95,2/06,19.65
100,"227,016,110","5,284,897,762","83,136",25.40,1/13,19.45,11/24,22.67
101,"103,352,259","2,129,750,392","45,108",22.85,2/13,18.20,6/05,20.35
102,"541,348,259","15,341,434,108","225,819",34.45,10/08,20.20,1/17,26.04
程蔼基,ら戳,程基,ら戳
92.50, 87/5/20,6.91, 97/11/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
