"1459 羛祇 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
83,"66,935,519","3,133,716,187","17,073",59.50,12/15,32.10,10/26,45.05
84,"306,522,723","9,905,563,294","77,964",56.00,2/18,21.00,11/14,33.28
85,"462,038,329","12,680,278,067","89,737",34.30,9/14,18.80,3/13,26.00
86,"893,730,312","28,858,279,387","145,157",39.00,4/07,23.50,1/06,30.75
87,"657,140,055","16,761,980,674","116,294",32.90,3/11,14.90,12/31,22.67
88,"742,217,300","13,411,130,310","93,452",24.90,5/21,9.60,12/27,14.90
89,"383,837,031","4,200,307,653","53,107",17.20,2/22,4.75,9/19,9.46
90,"384,651,740","3,241,550,063","33,860",10.20,4/02,5.25,7/19,7.60
91,"1,047,287,098","12,418,371,607","120,887",16.30,4/04,7.15,10/14,10.99
92,"791,988,243","8,776,529,902","108,359",15.50,1/24,6.70,5/02,10.05
93,"668,746,059","7,260,080,719","100,519",12.60,2/02,7.75,8/04,10.12
94,"159,608,104","1,274,332,668","25,165",11.10,1/03,5.31,10/19,7.46
95,"169,217,127","1,049,845,171","25,696",8.72,12/27,4.81,3/31,5.82
96,"459,679,355","5,574,681,164","83,392",15.30,8/14,7.70,1/15,11.31
97,"91,276,118","871,114,336","21,357",13.60,1/16,4.40,10/28,8.25
98,"133,022,444","1,169,993,244","31,890",10.50,10/22,4.71,2/02,7.55
99,"481,794,505","6,662,930,552","113,306",17.75,12/15,8.16,2/06,11.76
100,"353,829,300","5,881,991,810","100,992",19.90,2/18,8.73,12/20,14.32
101,"85,003,861","844,398,860","31,441",12.75,3/07,7.60,11/08,9.35
102,"45,283,943","402,427,222","15,637",10.35,10/08,7.61,6/26,8.62
程蔼基,ら戳,程基,ら戳
59.50, 83/12/15,4.40, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
