"1460 Щ环 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
84,"125,909,645","2,931,625,449","32,427",31.00,4/28,15.80,8/25,22.01
85,"275,228,251","6,403,882,251","58,014",27.20,4/08,19.70,11/22,22.94
86,"1,074,166,702","29,168,237,910","163,727",33.80,12/18,20.00,7/26,25.77
87,"1,940,373,316","74,834,515,132","374,923",49.80,3/16,26.40,12/19,37.29
88,"1,121,484,371","25,219,193,199","206,318",28.70,5/10,10.70,12/23,19.13
89,"591,736,086","6,063,653,600","87,586",15.30,2/21,4.21,10/20,8.53
90,"188,509,531","1,424,513,352","30,541",8.90,5/02,5.65,1/15,7.18
91,"218,784,528","1,702,237,414","32,381",9.45,3/26,4.60,10/07,6.95
92,"303,234,421","1,983,091,014","41,303",8.60,1/23,4.75,4/28,5.97
93,"877,697,593","8,291,384,462","128,127",11.55,3/15,6.10,1/02,8.91
94,"253,110,241","1,889,552,173","39,262",10.55,1/03,5.49,10/20,7.02
95,"183,977,893","1,135,592,925","39,079",7.50,12/04,4.70,3/28,5.68
96,"553,204,434","4,904,718,876","99,808",11.55,10/17,6.20,1/12,8.04
97,"163,464,909","1,128,636,822","36,406",8.99,4/17,3.27,10/28,6.30
98,"112,060,696","670,661,957","24,943",7.28,10/20,3.70,3/03,5.58
99,"224,147,048","1,530,788,858","45,524",8.07,10/18,5.20,2/06,6.65
100,"163,699,860","1,273,919,127","38,874",9.90,2/23,5.30,8/11,6.96
101,"262,092,890","2,177,541,482","67,765",10.25,5/04,6.00,1/13,7.92
102,"233,162,941","1,930,025,505","57,909",9.42,10/18,6.65,4/10,7.82
程蔼基,ら戳,程基,ら戳
49.80, 87/3/16,3.27, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
