"1469 瞶订 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
88,"7,141,166","230,936,321","3,064",35.70,3/16,27.50,12/28,32.16
89,"2,649,695","71,768,802","1,318",29.70,1/14,22.40,10/13,26.31
90,"5,287,611","123,551,122",706,25.60,8/22,18.90,10/18,23.25
91,"352,768","7,597,656",244,22.00,11/01,20.00,12/23,21.60
92,"1,235,973","24,905,291",729,23.90,2/20,16.90,7/30,20.30
93,"3,720,872","56,739,464","1,693",24.20,3/11,10.75,10/18,14.60
94,"2,341,953","24,857,897","1,259",12.40,1/06,9.36,9/22,10.61
95,"1,325,414","12,178,617",571,10.60,12/29,7.95,10/20,9.47
96,"10,903,241","168,684,017","6,009",21.75,1/16,10.95,2/14,14.04
97,"3,334,346","34,755,512","1,762",15.40,3/26,6.15,10/28,10.49
98,"3,400,847","32,180,380","2,068",11.35,11/19,7.50,6/22,9.06
99,"29,179,242","404,761,803","12,212",17.85,8/23,8.26,2/06,12.28
100,"7,403,320","85,517,026","3,576",13.90,1/20,8.40,12/20,10.63
101,"2,348,884","20,918,821","1,505",9.68,9/27,7.80,6/04,8.87
102,"4,515,715","44,938,364","2,443",11.20,6/10,8.90,2/21,9.63
程蔼基,ら戳,程基,ら戳
35.70, 88/3/16,6.15, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
