"1526 ら梗 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"64,398,545","1,461,521,237","27,859",39.00,3/29,5.15,11/20,15.16
90,"36,773,410","261,823,856","10,831",10.55,2/27,4.11,11/08,6.76
91,"245,980,467","3,685,554,157","64,599",19.60,1/29,6.40,1/02,11.96
92,"293,231,916","3,581,730,555","73,277",16.00,12/10,7.00,9/10,9.93
93,"259,987,140","2,930,437,059","61,533",14.85,2/10,7.60,8/19,9.99
94,"68,154,890","407,763,788","15,851",9.15,1/06,2.85,11/08,4.83
95,"58,036,442","287,512,108","14,259",6.80,12/12,3.14,1/03,4.02
96,"187,425,834","1,509,377,981","51,095",14.55,9/12,3.99,3/12,6.86
97,"118,103,720","968,913,259","38,113",11.95,6/10,4.70,9/18,6.69
98,"69,565,516","423,385,529","20,741",7.49,4/10,4.99,1/08,5.84
99,"91,182,436","659,075,548","26,085",9.19,10/20,5.80,2/06,7.01
100,"28,315,194","219,727,646","11,857",9.49,5/19,6.51,8/25,7.38
101,"17,222,639","152,772,823","7,248",10.65,3/21,6.55,11/22,7.87
102,"28,927,144","251,209,222","11,889",10.10,12/31,6.80,2/04,8.12
程蔼基,ら戳,程基,ら戳
39.00, 89/3/29,2.85, 94/11/08
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
