"1539 エ畑 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"15,525,017","293,831,451","3,769",21.60,12/12,17.00,11/08,19.08
92,"37,473,811","602,407,271","10,329",20.30,1/16,13.80,11/06,15.99
93,"96,656,416","1,657,296,864","24,330",22.00,4/06,8.50,12/14,13.58
94,"31,727,333","243,794,699","9,015",10.50,1/06,6.05,9/23,7.25
95,"21,797,810","178,942,296","6,772",11.35,11/16,5.01,4/12,6.77
96,"43,678,171","615,825,488","15,661",17.30,7/20,9.25,1/26,13.17
97,"14,628,904","126,078,173","5,652",12.60,4/21,3.61,10/20,7.61
98,"16,319,299","103,121,084","6,601",8.93,12/24,3.61,1/21,5.85
99,"15,796,443","149,446,629","6,332",11.80,4/13,6.36,2/08,9.20
100,"7,318,616","56,204,341","3,629",9.20,1/06,5.36,12/15,7.42
101,"9,175,898","58,491,067","3,960",8.28,2/22,5.08,6/04,5.93
102,"194,271,508","3,686,385,519","86,389",25.70,10/18,6.20,1/28,12.34
程蔼基,ら戳,程基,ら戳
25.70, 102/10/18,3.61, 98/1/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
