"1540 喬福 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
91,"32,024,703","425,289,168","8,571",15.80,11/27,9.60,10/01,11.67
92,"161,846,932","3,104,857,025","57,741",33.20,7/29,11.10,2/19,15.90
93,"95,640,859","2,115,645,674","33,794",26.90,3/12,12.55,11/01,17.38
94,"50,319,634","739,477,059","18,355",16.50,2/22,13.30,2/01,14.40
95,"144,570,249","3,328,487,233","48,672",35.30,12/15,13.75,3/07,21.21
96,"64,260,788","2,548,340,629","28,382",47.50,8/13,31.80,1/08,39.16
97,"53,133,676","1,464,662,169","24,586",39.50,3/12,12.60,10/28,28.22
98,"78,148,291","2,220,370,683","34,392",34.10,12/31,15.55,1/09,27.21
99,"114,937,886","3,683,057,578","53,026",39.00,4/09,21.50,11/05,28.98
100,"38,153,443","818,422,326","18,312",24.90,1/04,16.50,11/24,20.76
101,"32,342,677","665,472,123","16,942",22.75,5/09,17.05,1/09,20.31
102,"52,475,527","987,431,521","23,190",21.30,11/15,16.90,7/22,18.10
近年最高價,日期,近年最低價,日期
47.50, 96/8/13,9.60, 91/10/01
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
