"1704 篴て Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"931,523,494","31,952,153,988","263,425",45.50,4/09,18.40,1/17,33.41
81,"571,378,949","17,391,942,426","141,175",38.40,3/17,17.20,12/29,27.34
82,"830,298,888","18,560,413,477","166,657",27.00,12/15,15.00,1/08,21.16
83,"2,356,293,295","97,650,809,134","443,881",62.50,10/18,23.70,3/22,38.44
84,"1,560,322,060","56,702,398,146","334,974",56.00,2/18,20.50,8/25,33.72
85,"1,241,148,721","37,470,710,247","248,851",36.00,12/03,23.70,2/28,29.23
86,"981,132,994","34,756,328,779","229,493",44.30,2/22,21.00,10/20,32.87
87,"1,083,195,297","31,492,039,261","245,529",40.00,4/07,17.30,9/01,26.78
88,"1,435,470,696","39,067,805,341","315,161",34.30,6/09,17.50,12/18,24.94
89,"857,295,991","16,795,272,809","186,181",25.30,2/21,9.00,11/21,17.15
90,"386,963,283","4,215,333,075","78,144",13.80,2/06,6.35,7/25,9.43
91,"1,119,873,597","14,240,156,087","181,949",14.95,3/26,8.10,1/15,11.77
92,"686,407,163","9,806,303,420","113,888",17.50,1/23,10.65,4/28,13.16
93,"494,094,686","6,848,254,688","84,319",15.30,3/05,11.50,6/18,13.34
94,"670,129,584","13,781,478,969","142,879",25.85,11/01,14.75,1/07,19.49
95,"682,207,742","18,392,942,575","170,606",35.40,11/14,21.85,3/24,26.15
96,"915,930,493","35,310,140,389","257,075",46.90,7/25,26.95,5/03,35.18
97,"834,658,927","27,564,391,251","269,660",44.40,5/21,15.35,10/28,30.17
98,"1,184,268,571","38,833,139,114","374,907",40.90,11/23,19.90,3/03,30.79
99,"2,113,637,062","116,928,128,193","783,542",70.80,11/11,34.50,2/06,48.14
100,"2,049,662,736","144,645,213,194","991,983",94.00,3/14,37.10,12/16,64.92
101,"576,390,632","27,023,592,712","297,959",59.40,2/06,28.15,11/01,43.36
102,"263,037,329","9,770,770,890","150,321",42.20,7/25,32.80,4/16,36.73
程蔼基,ら戳,程基,ら戳
94.00, 100/3/14,6.35, 90/7/25
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
