"1713 瓣て Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"335,640,117","27,839,326,524","168,435",116.00,5/01,46.20,10/23,76.79
81,"423,594,840","31,926,827,023","161,132",102.00,2/24,45.90,9/30,69.60
82,"502,228,585","23,893,083,248","159,278",65.00,4/03,35.50,1/13,45.58
83,"347,534,724","14,178,861,458","101,144",54.00,1/11,31.00,11/01,39.91
84,"418,806,963","12,101,293,454","96,983",41.50,1/05,22.00,8/15,29.50
85,"745,693,374","23,116,066,913","144,438",38.50,12/31,25.60,1/06,30.71
86,"664,794,450","34,030,047,687","201,355",74.00,4/15,30.00,10/29,47.55
87,"771,505,159","32,643,746,820","215,435",61.50,3/27,24.20,12/31,36.87
88,"247,516,061","5,655,421,777","74,486",27.50,3/29,11.60,12/28,19.88
89,"157,613,821","2,217,199,510","42,877",19.90,2/21,5.50,11/20,12.03
90,"133,785,395","1,097,735,550","30,328",11.40,2/22,5.50,7/25,7.53
91,"304,342,523","3,100,706,962","55,005",13.60,4/23,6.30,10/08,8.85
92,"167,741,318","1,537,918,156","30,140",10.70,11/05,6.70,5/02,8.57
93,"448,678,779","5,419,532,446","78,570",15.50,2/11,8.00,8/18,10.44
94,"150,376,855","1,573,623,375","29,400",12.90,1/03,8.53,12/15,9.75
95,"220,793,312","2,387,524,050","44,252",14.30,12/21,7.26,3/27,9.42
96,"194,392,478","3,095,638,531","50,534",20.50,7/03,10.20,12/21,14.44
97,"236,848,623","3,226,771,725","61,820",18.35,5/22,5.88,10/28,11.28
98,"217,431,326","2,286,210,337","48,907",12.45,12/30,6.55,2/23,9.86
99,"163,861,337","2,111,825,378","42,204",15.40,12/23,9.90,2/06,12.40
100,"69,624,250","954,617,008","18,923",15.90,1/04,8.80,12/20,12.73
101,"42,102,775","505,855,722","13,197",14.25,9/24,9.35,1/13,11.58
102,"90,807,217","1,457,855,554","30,804",20.50,12/05,12.50,1/17,15.13
程蔼基,ら戳,程基,ら戳
116.00, 80/5/01,5.50, 90/7/25
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
