"1714 ㎝ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"31,079,000","2,071,938,700","15,996",77.00,9/09,46.00,8/30,65.54
81,"126,141,504","7,784,516,337","56,888",91.00,1/15,29.60,12/29,55.47
82,"368,055,411","18,353,066,689","126,758",75.00,4/07,26.50,1/08,46.29
83,"322,030,094","14,005,302,293","95,658",58.00,1/11,32.10,10/11,42.38
84,"443,791,766","13,631,721,943","107,685",41.80,1/05,23.80,8/14,31.71
85,"298,937,385","9,249,669,668","76,730",35.80,3/22,26.10,11/04,29.92
86,"620,624,026","18,554,897,521","131,799",36.50,4/16,23.50,8/05,28.90
87,"1,041,069,693","41,630,779,915","247,198",51.50,6/26,29.90,1/12,38.63
88,"1,106,638,346","41,767,891,048","275,503",47.50,6/10,24.10,11/08,33.55
89,"676,028,892","20,127,050,106","174,892",41.60,4/11,11.25,11/21,25.02
90,"1,291,944,236","25,528,369,298","306,116",27.70,4/11,13.20,1/02,19.10
91,"1,419,697,715","27,221,793,932","298,664",23.60,4/25,12.20,10/14,17.75
92,"726,127,008","11,199,128,853","150,573",18.50,1/16,12.60,4/28,14.63
93,"742,244,213","10,226,042,695","135,661",16.30,2/16,9.75,12/31,12.11
94,"314,137,259","2,384,056,439","60,565",10.25,1/04,5.88,9/22,7.51
95,"368,945,459","2,667,513,333","71,087",9.10,12/07,5.01,9/06,6.76
96,"1,429,289,289","17,000,674,132","259,211",15.65,7/25,7.00,3/05,10.29
97,"1,328,396,549","15,444,174,089","262,927",16.30,5/22,6.14,11/21,9.92
98,"2,348,962,223","32,386,686,025","476,193",19.00,12/31,6.90,2/24,11.69
99,"1,735,422,724","29,560,222,475","410,465",19.70,1/19,13.90,2/06,16.46
100,"1,702,738,603","32,246,027,349","441,233",22.60,5/09,13.25,12/19,17.70
101,"611,147,413","10,277,250,276","183,446",20.10,3/05,12.25,11/23,16.43
102,"652,011,391","9,195,635,453","193,248",15.45,4/25,12.70,6/25,13.83
程蔼基,ら戳,程基,ら戳
91.00, 81/1/15,5.01, 95/9/06
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
