"1723 い阂 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
87,"23,964,835","749,887,051","10,665",33.30,12/02,29.10,11/30,31.08
88,"122,109,848","3,204,524,515","37,060",31.90,1/08,19.00,8/09,25.61
89,"482,393,211","20,592,096,656","153,319",60.00,4/11,23.10,1/05,39.13
90,"331,820,959","10,178,888,526","110,116",40.40,3/06,20.80,7/25,29.31
91,"555,467,164","19,084,820,099","157,387",40.10,3/26,29.10,1/21,33.29
92,"427,641,514","16,991,336,041","134,448",45.60,11/06,33.80,5/02,39.73
93,"284,714,009","13,245,314,005","95,292",53.00,10/12,41.10,6/29,46.31
94,"120,715,713","5,836,396,705","52,322",53.10,6/27,39.90,12/05,47.83
95,"114,351,700","5,450,873,044","52,611",53.20,12/29,40.40,1/02,47.49
96,"190,146,449","14,311,722,565","93,268",95.20,10/16,52.50,1/04,71.86
97,"217,119,197","16,013,316,207","122,730",96.50,7/14,43.00,10/30,73.00
98,"301,020,982","21,894,480,360","168,047",92.80,10/06,50.00,1/10,68.34
99,"222,524,009","22,251,793,590","133,243",128.50,12/16,80.10,1/27,99.43
100,"410,115,089","60,984,937,653","270,810",188.00,5/13,109.00,12/14,142.24
101,"142,394,095","18,768,742,532","100,880",144.00,4/02,112.50,1/02,131.34
102,"159,699,625","25,397,876,143","117,073",184.00,10/18,129.50,1/02,157.29
程蔼基,ら戳,程基,ら戳
188.00, 100/5/13,19.00, 88/8/09
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
