"1729 ゲ稻 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"224,025,261","27,038,968,774","115,593",175.00,6/13,64.00,3/21,121.41
91,"167,980,610","19,777,202,996","76,309",138.50,3/25,91.50,6/27,113.93
92,"85,684,970","8,594,570,044","44,232",120.00,12/11,83.00,3/25,100.26
93,"65,666,063","5,445,247,949","33,577",119.00,1/28,56.50,9/21,79.34
94,"55,942,399","3,196,915,667","18,629",76.50,3/25,44.50,11/04,62.82
95,"89,868,195","5,682,271,559","39,792",82.00,10/19,45.80,1/19,61.98
96,"316,713,475","24,293,720,353","137,442",98.00,8/03,50.70,2/13,68.45
97,"132,578,613","7,531,726,318","67,248",73.40,7/03,39.35,11/17,55.13
98,"616,963,537","41,392,610,989","288,863",81.50,11/27,40.60,2/18,60.55
99,"297,761,730","16,180,439,458","158,279",73.50,1/04,44.10,6/09,52.66
100,"220,600,337","10,142,118,345","102,977",56.60,3/08,32.15,8/11,43.43
101,"204,390,603","7,335,078,711","83,527",41.90,2/16,29.50,6/04,35.74
102,"214,932,322","6,901,920,408","82,161",36.60,2/19,23.40,7/30,32.02
程蔼基,ら戳,程基,ら戳
175.00, 90/6/13,23.40, 102/7/30
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
